,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,29.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1.0,24.9,20.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,2.0,23.5,17.5,15.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,3.0,21.4,14.9,11.8,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,4.0,21.5,13.2,11.8,8.4,16.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,5.0,20.6,13.0,11.9,7.8,13.8,16.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,6.0,20.4,12.2,12.3,6.3,13.3,15.7,17.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,7.0,19.8,11.9,11.0,6.0,13.2,13.5,13.9,20.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,8.0,19.4,11.6,9.8,5.8,12.6,11.8,11.6,17.9,12.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,9.0,19.4,11.1,9.7,5.7,13.4,11.4,10.5,17.4,9.9,13.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,10.0,19.4,12.0,9.4,5.8,12.7,11.1,10.9,16.4,8.7,9.4,10.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,11.0,19.3,12.2,9.2,5.8,12.9,11.4,11.3,16.5,8.5,8.7,9.7,13.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,12.0,19.3,12.3,9.3,5.7,12.7,11.1,11.0,16.2,9.1,9.4,8.1,12.2,15.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,13.0,19.3,12.3,9.3,5.7,13.3,9.4,10.9,16.0,9.2,9.7,7.0,11.6,14.8,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14.0,19.4,13.3,9.2,5.7,12.1,9.3,11.6,15.9,9.3,9.5,6.8,12.4,14.0,7.8,14.3,-1.0,-1.0,-1.0,-1.0,-1.0
15,15.0,19.4,13.4,8.8,5.7,12.0,9.0,11.6,15.9,9.1,9.2,6.8,11.9,11.7,6.9,12.5,9.3,-1.0,-1.0,-1.0,-1.0
16,16.0,18.2,12.7,8.2,5.7,12.0,9.0,12.4,15.9,9.2,9.2,6.8,10.7,12.5,6.9,11.5,9.2,14.9,-1.0,-1.0,-1.0
17,17.0,18.2,12.7,7.7,5.7,11.1,9.1,12.3,15.7,8.9,9.2,6.8,9.8,12.5,5.9,11.5,9.1,10.0,13.9,-1.0,-1.0
18,18.0,17.9,12.7,7.3,5.7,11.2,9.1,13.0,15.7,8.8,9.0,6.8,9.9,12.5,6.1,11.5,9.1,7.8,11.4,13.1,-1.0
19,19.0,17.9,12.6,7.2,5.6,11.2,9.1,13.0,15.8,8.7,9.0,6.8,9.8,12.5,6.1,11.5,9.2,8.0,10.0,11.4,10.3
