candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
hip hop,0,2,5,0,0,0,1,0,6,-0.0884206142,0.8333333333,0,0,0,0.1666666667,0,0.9263374773,g,1
detroit,0,1,4,0,0,0,0,3,7,-0.0874754268,0.5714285714,0,0,0,0,0.4285714286,0.9242342367,g,1
socialist,0,1,4,0,0,0,1,0,5,-0.0893658016,0.8,0,0,0,0.2,0,0.9223038064,g,1
fbi,0,1,0,0,0,67,0,8,75,-0.0232026838,0,0,0,0.8933333333,0,0.1066666667,0.9209472985,g,1
blk,0,1,21,0,0,0,5,1,27,-0.0685716788,0.7777777778,0,0,0,0.1851851852,0.037037037,0.9209448806,g,1
mlk,0,1,3,0,3,98,4,3,111,0.0108240625,0.027027027,0,0.027027027,0.8828828829,0.036036036,0.027027027,0.9141616419,g,1
marcus garvey malcolm x,0,4,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9053297569,g,1
a life of reinvention,0,4,18,0,0,0,0,0,18,-0.0770783654,1,0,0,0,0,0,0.9053297569,g,1
mau mau of kenya,0,4,25,0,0,0,0,0,25,-0.0704620536,1,0,0,0,0,0,0.9053297569,g,1
malcolm x by french,0,4,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9053297569,g,1
message to the grassroots,0,4,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9053297569,g,1
malcolm x in brooklyn,0,4,10,0,0,0,0,0,10,-0.0846398646,1,0,0,0,0,0,0.9053297569,g,1
malcolm x on black,0,4,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9053297569,g,1
wfu on king day,0,4,13,0,0,0,0,0,13,-0.0818043024,1,0,0,0,0,0,0.9053297569,g,1
brother malcom,0,2,3,1,0,0,0,1,5,-0.0893658016,0.6,0.2,0,0,0,0.2,0.9041419606,g,1
african americans,0,2,4,0,0,0,1,0,5,-0.0893658016,0.8,0,0,0,0.2,0,0.8968170048,g,1
blm,0,1,0,0,0,4,0,1,5,-0.0893658016,0,0,0,0.8,0,0.2,0.8962792308,g,1
supernatural,0,1,13,0,6,0,0,10,29,-0.066681304,0.4482758621,0,0.2068965517,0,0,0.3448275862,0.8867439619,g,1
world in malcolm x,0,4,39,0,0,0,0,4,43,-0.0534486805,0.9069767442,0,0,0,0,0.0930232558,0.8846030025,g,1
r.i.p,0,1,0,0,0,76,0,24,100,0.0004270012,0,0,0,0.76,0,0.24,0.8833172052,g,1
dems,0,1,7,0,2,2,2,0,13,-0.0818043024,0.5384615385,0,0.1538461538,0.1538461538,0.1538461538,0,0.882901245,g,1
boycotts cnn,0,2,0,0,0,21,0,0,21,-0.0742428032,0,0,0,1,0,0,0.8821913952,g,1
daughter of malcolm x,0,4,7,1,0,0,0,0,8,-0.0865302394,0.875,0.125,0,0,0,0,0.8709257087,g,1
american,0,1,50,0,3,0,6,39,98,-0.0014633736,0.5102040816,0,0.0306122449,0,0.0612244898,0.3979591837,0.8626000676,g,1
fbi cointelpro,0,2,0,0,0,14,0,1,15,-0.0799139276,0,0,0,0.9333333333,0,0.0666666667,0.8624148395,g,1
rip malcolm x,0,3,25,1,0,0,0,14,40,-0.0562842427,0.625,0.025,0,0,0,0.35,0.8615852918,g,1
fight the power,0,3,6,0,0,0,1,1,8,-0.0865302394,0.75,0,0,0,0.125,0.125,0.8586661625,g,1
honorable malcolm x,0,3,8,1,0,0,0,4,13,-0.0818043024,0.6153846154,0.0769230769,0,0,0,0.3076923077,0.8542896305,g,1
detroit red,0,2,6,0,0,0,0,6,12,-0.0827494898,0.5,0,0,0,0,0.5,0.853237384,g,1
jason whitlock,0,2,16,0,0,0,0,16,32,-0.0638457419,0.5,0,0,0,0,0.5,0.853237384,g,1
autobiography of malcolm x,0,4,42,7,0,0,0,3,52,-0.0449419939,0.8076923077,0.1346153846,0,0,0,0.0576923077,0.8499644769,g,1
black history everyday,0,3,3,0,0,0,0,2,5,-0.0893658016,0.6,0,0,0,0,0.4,0.8492514899,g,1
trump,0,1,23,0,9,3,6,6,47,-0.0496679309,0.4893617021,0,0.1914893617,0.0638297872,0.1276595745,0.1276595745,0.8417944782,g,1
full pbs documentary,0,3,4,0,0,0,0,3,7,-0.0874754268,0.5714285714,0,0,0,0,0.4285714286,0.8327684298,g,1
castro,0,1,2,0,5,0,0,0,7,-0.0874754268,0.2857142857,0,0.7142857143,0,0,0,0.8306635454,g,1
martin luther king,0,3,12,3,0,0,0,6,21,-0.0742428032,0.5714285714,0.1428571429,0,0,0,0.2857142857,0.8250670683,g,1
chris cornell,0,2,5,0,0,0,0,6,11,-0.0836946772,0.4545454545,0,0,0,0,0.5454545455,0.8196588939,g,1
rip,0,1,0,0,3,35,0,21,59,-0.0383256821,0,0,0.0508474576,0.593220339,0,0.3559322034,0.8178239042,g,1
