,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
1005,joe silva,0,2,2,0,0,1,0,0,3,-0.1651208261,0.6666666667,0,0,0.3333333333,0,0,0.9701703157,g
737,jorge masvidal,0,2,5,0,0,0,0,1,6,0.031727762,0.8333333333,0,0,0,0,0.1666666667,0.9691645951,g
157,trump,0,1,160,1,11,3,9,18,202,12.8925021891,0.7920792079,0.004950495,0.0544554455,0.0148514851,0.0445544554,0.0891089109,0.9687986017,g
330,joe,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g
355,syria,0,1,6,0,0,0,0,2,8,0.1629601542,0.75,0,0,0,0,0.25,0.9673718838,g
873,carson,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g
1004,moscow,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g
742,yair rodriguez,0,2,9,0,0,0,0,2,11,0.3598087423,0.8181818182,0,0,0,0,0.1818181818,0.9671140919,g
288,nunes,0,1,5,0,1,0,0,1,7,0.0973439581,0.7142857143,0,0.1428571429,0,0,0.1428571429,0.9665481485,g
713,maia,0,1,77,0,31,0,0,4,112,6.987044544,0.6875,0,0.2767857143,0,0,0.0357142857,0.9659489367,g
623,demian maia,0,2,13,1,0,0,0,2,16,0.6878897226,0.8125,0.0625,0,0,0,0.125,0.9658413611,g
474,instagram,0,1,10,0,0,0,1,1,12,0.4254249384,0.8333333333,0,0,0,0.0833333333,0.0833333333,0.9650557083,g
656,devin nunes,0,2,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9644531518,g
952,united kingdom,0,2,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9644531518,g
841,carter page,0,2,221,1,0,0,6,40,268,17.2231711289,0.8246268657,0.0037313433,0,0,0.0223880597,0.1492537313,0.9642909005,g
1030,russian,0,1,15,0,0,0,1,3,19,0.8847383108,0.7894736842,0,0,0,0.0526315789,0.1578947368,0.964086549,g
91,california,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g
247,george,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g
809,holloway,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g
898,gamebred,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g
1021,carter page fisa,0,3,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9639374462,g
802,yair,0,1,12,0,4,0,0,2,18,0.8191221147,0.6666666667,0,0.2222222222,0,0,0.1111111111,0.9612601317,g
