,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
23428,baker,0,1,2,0,0,0,4,10,16,0.125,0.0,0.0,0.0,0.25,0.625,0.5328073371740017,a
23448,verd,1,1,4,0,1,1,6,4,16,0.25,0.0,0.0625,0.0625,0.375,0.25,0.4780877854224196,a
23476,good mornin,3,2,1,1,0,0,1,3,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.5637180145926336,a
23481,dmx,0,1,0,0,2,6,3,6,17,0.0,0.0,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.6464333443446026,a
23491,bale,0,1,5,0,1,0,6,3,15,0.3333333333333333,0.0,0.06666666666666667,0.0,0.4,0.2,0.4768048225521845,a
23525,desmond,0,1,3,0,0,0,3,3,9,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
23545,dane,1,1,2,0,0,0,5,8,15,0.13333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5333333333333333,0.4398480293784191,a
23573,playful,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
23583,perspective,5,1,0,0,0,2,2,1,5,0.0,0.0,0.0,0.4,0.4,0.2,0.4530293267240119,a
23588,costa,2,1,4,0,1,0,5,6,16,0.25,0.0,0.0625,0.0,0.3125,0.375,0.5269884809629771,a
23633,isl,2,1,1,0,0,3,3,3,10,0.1,0.0,0.0,0.3,0.3,0.3,0.5986443143144103,a
23696,italo,3,1,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4335597797090798,a
23837,six feet,1,2,2,1,0,0,2,1,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5044307848235033,a
23840,phew,4,1,1,0,0,0,3,5,9,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.42351894425653525,a
23861,happy chinese new year,2,4,5,3,0,0,2,3,13,0.38461538461538464,0.23076923076923078,0.0,0.0,0.15384615384615385,0.23076923076923078,0.4134672594372558,a
23864,human rights,3,2,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4472309845087577,a
23873,lontong,3,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
23881,cancun,1,1,6,0,1,0,5,3,15,0.4,0.0,0.06666666666666667,0.0,0.3333333333333333,0.2,0.6072887972946638,a
23918,winters,1,1,2,0,1,0,3,2,8,0.25,0.0,0.125,0.0,0.375,0.25,0.421949650794205,a
23980,bachelorette,0,1,2,0,2,0,1,0,5,0.4,0.0,0.4,0.0,0.2,0.0,0.6248609156196052,a
24056,krispies,2,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
24082,mickey,1,1,5,0,0,0,6,8,19,0.2631578947368421,0.0,0.0,0.0,0.3157894736842105,0.42105263157894735,0.5574185017842322,a
24084,mocinha,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
24196,fudida,1,1,0,0,0,1,1,5,7,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.6267813312311614,a
24248,poker face,0,2,1,3,0,1,1,1,7,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.47074617779391437,a
24274,lizard,2,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
24338,brainy,1,1,0,0,0,1,1,5,7,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.6267813312311614,a
24633,iloveyou,1,1,1,0,0,2,4,8,15,0.06666666666666667,0.0,0.0,0.13333333333333333,0.26666666666666666,0.5333333333333333,0.5364313652897106,a
24642,passando mal,4,2,0,1,0,1,2,4,8,0.0,0.125,0.0,0.125,0.25,0.5,0.4148311924477045,a
24714,10 meses,0,2,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.4146098373234487,a
24748,comentei,2,1,2,0,0,0,3,3,8,0.25,0.0,0.0,0.0,0.375,0.375,0.47493986646133024,a
24835,asalkan,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
24841,jessy,0,1,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4335597797090798,a
24872,bond,0,1,11,0,0,1,9,5,26,0.4230769230769231,0.0,0.0,0.038461538461538464,0.34615384615384615,0.19230769230769232,0.6481687508324793,a
24914,pov,0,1,2,0,1,2,3,2,10,0.2,0.0,0.1,0.2,0.3,0.2,0.5828068908238356,a
24925,rep,0,1,31,0,2,0,31,17,81,0.38271604938271603,0.0,0.024691358024691357,0.0,0.38271604938271603,0.20987654320987653,0.5523952263250065,a
25028,modelling,1,1,3,0,0,0,3,0,6,0.5,0.0,0.0,0.0,0.5,0.0,0.49649397740925777,a
25032,owo,1,1,2,0,0,0,3,2,7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4335597797090798,a
25062,divaa,2,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
25067,apollo,0,1,2,0,1,1,2,3,9,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6432507602016914,a
25084,gq,0,1,1,0,0,8,7,1,17,0.058823529411764705,0.0,0.0,0.47058823529411764,0.4117647058823529,0.058823529411764705,0.5101032024694286,a
25086,rick,0,1,8,0,5,0,11,14,38,0.21052631578947367,0.0,0.13157894736842105,0.0,0.2894736842105263,0.3684210526315789,0.497243312840436,a
25109,evet,1,1,4,0,1,1,8,7,21,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616,0.38095238095238093,0.3333333333333333,0.4260158569328943,a
25172,anastasia,0,1,2,0,0,0,2,4,8,0.25,0.0,0.0,0.0,0.25,0.5,0.6224461049458493,a
25182,excerpt,2,1,0,0,0,2,2,2,6,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5050153475316219,a
25187,uhuul,0,1,2,0,1,2,3,3,11,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.5981387852021098,a
25252,stella,0,1,3,0,2,0,3,6,14,0.21428571428571427,0.0,0.14285714285714285,0.0,0.21428571428571427,0.42857142857142855,0.5852372264849932,a
25294,kb,0,1,1,0,0,6,5,10,22,0.045454545454545456,0.0,0.0,0.2727272727272727,0.22727272727272727,0.45454545454545453,0.630385292701769,a
25347,dante,2,1,2,0,1,0,2,3,8,0.25,0.0,0.125,0.0,0.25,0.375,0.5768242384848564,a
25426,iht,1,1,0,0,0,2,2,1,5,0.0,0.0,0.0,0.4,0.4,0.2,0.4530293267240119,a
25428,amerika,1,1,3,0,0,0,3,4,10,0.3,0.0,0.0,0.0,0.3,0.4,0.6019638342259509,a
25513,detox,0,1,4,0,2,2,6,3,17,0.23529411764705882,0.0,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.4971195942855525,a
25520,pole dancing,1,2,1,1,0,0,1,2,5,0.2,0.2,0.0,0.0,0.2,0.4,0.5348331575037031,a
25532,guitar hero,0,2,5,0,0,0,6,9,20,0.25,0.0,0.0,0.0,0.3,0.45,0.5692470895359373,a
25638,valentina,1,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
25651,dia 11,3,2,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.4660341011811632,a
25713,nonton mu,3,2,2,6,0,0,0,0,8,0.25,0.75,0.0,0.0,0.0,0.0,0.4430078810883521,a
25739,olha essa,1,2,0,2,0,1,1,3,7,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.44900624943308304,a
25814,dae,3,1,1,0,0,2,3,8,14,0.07142857142857142,0.0,0.0,0.14285714285714285,0.21428571428571427,0.5714285714285714,0.6030786887125364,a
25867,description,0,1,8,0,0,0,12,9,29,0.27586206896551724,0.0,0.0,0.0,0.41379310344827586,0.3103448275862069,0.44507682189704995,a
25892,purp,0,1,4,0,0,0,4,2,10,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
26037,chicleteiro,0,1,2,0,2,0,1,0,5,0.4,0.0,0.4,0.0,0.2,0.0,0.6248609156196052,a
26085,link building,1,2,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5792752083044758,a
26144,el rey,3,2,1,4,0,0,0,1,6,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.4372207193117187,a
26199,bana,4,1,1,0,0,0,4,8,13,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.6153846153846154,0.4292040844512792,a
26256,meanwhile,2,1,2,0,2,0,3,4,11,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727,0.36363636363636365,0.47503596895464906,a
26297,o___o,2,1,1,0,0,1,2,3,7,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5735440776702664,a
26320,pellets,0,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
26353,mostro,3,1,1,0,1,0,2,3,7,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.4462659813901214,a
26433,malha,1,1,3,0,4,0,3,5,15,0.2,0.0,0.26666666666666666,0.0,0.2,0.3333333333333333,0.5413605118814482,a
26471,watcha doin,0,2,1,1,0,1,1,1,5,0.2,0.2,0.0,0.2,0.2,0.2,0.612388802875656,a
26547,la juve,1,2,4,6,0,0,1,1,12,0.3333333333333333,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.5826749818542856,a
26583,prata,2,1,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5663208153487131,a
26592,bejos,4,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
26601,hahahh,4,1,0,0,2,2,1,0,5,0.0,0.0,0.4,0.4,0.2,0.0,0.5202654318561856,a
26689,goedemorgen,3,1,2,0,5,0,5,10,22,0.09090909090909091,0.0,0.22727272727272727,0.0,0.22727272727272727,0.45454545454545453,0.4430427883464093,a
26691,andrea,0,1,6,0,0,0,8,15,29,0.20689655172413793,0.0,0.0,0.0,0.27586206896551724,0.5172413793103449,0.563249126905647,a
26775,overcast,0,1,3,0,4,0,7,20,34,0.08823529411764706,0.0,0.11764705882352941,0.0,0.20588235294117646,0.5882352941176471,0.5114911010716753,a
27106,kidd,0,1,11,0,5,0,13,9,38,0.2894736842105263,0.0,0.13157894736842105,0.0,0.34210526315789475,0.23684210526315788,0.4902449500160073,a
27222,rodriguez,2,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
27252,need you now,0,3,8,1,0,0,9,8,26,0.3076923076923077,0.038461538461538464,0.0,0.0,0.34615384615384615,0.3076923076923077,0.46164647328595343,a
27273,lakas,1,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
27316,entrepreneurs,3,1,1,0,0,0,3,6,10,0.1,0.0,0.0,0.0,0.3,0.6,0.45537270132526775,a
27374,autumn,0,1,2,0,2,0,4,7,15,0.13333333333333333,0.0,0.13333333333333333,0.0,0.26666666666666666,0.4666666666666667,0.466469740184637,a
27400,claudia,1,1,8,0,3,0,6,3,20,0.4,0.0,0.15,0.0,0.3,0.15,0.6134196893705635,a
27410,wib,3,1,0,0,0,3,4,4,11,0.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.43821667187758084,a
27415,inu,4,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
27517,sleeping beauty,2,2,3,1,0,0,2,1,7,0.42857142857142855,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.64301917885582,a
27557,gaby,0,1,8,0,1,1,8,6,24,0.3333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.25,0.5892791442350086,a
27600,goodmornin,3,1,1,0,2,0,1,2,6,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.5278394870308596,a
27728,pond,5,1,1,0,0,0,3,5,9,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.42351894425653525,a
27755,sebastian,0,1,3,0,0,0,3,4,10,0.3,0.0,0.0,0.0,0.3,0.4,0.6019638342259509,a
27834,dora,0,1,12,0,2,0,16,9,39,0.3076923076923077,0.0,0.05128205128205128,0.0,0.41025641025641024,0.23076923076923078,0.45131674447870046,a
27879,ml,0,1,0,1,0,5,6,7,19,0.0,0.05263157894736842,0.0,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.4651589770052576,a
27896,500gb,0,1,0,0,0,1,2,3,6,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.42406657647938395,a
27911,el sr,0,2,1,2,0,0,0,2,5,0.2,0.4,0.0,0.0,0.0,0.4,0.6304797647862842,a
27966,harta,0,1,7,0,2,0,10,4,23,0.30434782608695654,0.0,0.08695652173913043,0.0,0.43478260869565216,0.17391304347826086,0.40235431915247377,a
28040,omfg,2,1,0,0,9,9,8,29,55,0.0,0.0,0.16363636363636364,0.16363636363636364,0.14545454545454545,0.5272727272727272,0.5777708971424866,a
28057,gb,0,1,3,0,0,12,10,19,44,0.06818181818181818,0.0,0.0,0.2727272727272727,0.22727272727272727,0.4318181818181818,0.6450361686031204,a
28075,tsunami,1,1,2,0,0,0,4,4,10,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
28089,crossing,5,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
28095,levante,0,1,13,0,0,0,12,6,31,0.41935483870967744,0.0,0.0,0.0,0.3870967741935484,0.1935483870967742,0.5826051401939679,a
28148,wagon,1,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
28282,gremio,1,1,0,0,0,2,4,7,13,0.0,0.0,0.0,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.44883218036747063,a
28347,kou,3,1,0,0,0,1,2,4,7,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.46978538189004093,a
28350,bedua,4,1,2,0,1,0,2,0,5,0.4,0.0,0.2,0.0,0.4,0.0,0.4669900428994846,a
28362,gilberto,3,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
28380,frosted flakes,0,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
28389,shi,5,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
28460,jedward,0,1,6,0,1,1,7,7,22,0.2727272727272727,0.0,0.045454545454545456,0.045454545454545456,0.3181818181818182,0.3181818181818182,0.5648310066670849,a
28466,rest in peace,0,3,19,12,0,1,17,12,61,0.3114754098360656,0.19672131147540983,0.0,0.01639344262295082,0.2786885245901639,0.19672131147540983,0.4503833083463483,a
28493,onu,0,1,0,0,1,11,11,5,28,0.0,0.0,0.03571428571428571,0.39285714285714285,0.39285714285714285,0.17857142857142858,0.4429460552146338,a
28521,lilly,0,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
28569,waahh,2,1,2,0,2,0,2,1,7,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.490989157813282,a
28589,ec,0,1,0,0,0,6,4,7,17,0.0,0.0,0.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.6270673176222238,a
28614,news update,1,2,2,0,0,0,2,5,9,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.630001948755203,a
28655,tran,3,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
28672,muack,0,1,2,0,0,0,3,6,11,0.18181818181818182,0.0,0.0,0.0,0.2727272727272727,0.5454545454545454,0.5485346037993963,a
28674,avenged,1,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
28710,aiden,0,1,5,0,0,0,4,1,10,0.5,0.0,0.0,0.0,0.4,0.1,0.6209980133617237,a
28715,bx,5,1,1,0,1,0,1,3,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5,0.5950847654209117,a
28743,top ten,2,2,2,0,0,0,4,5,11,0.18181818181818182,0.0,0.0,0.0,0.36363636363636365,0.45454545454545453,0.4428324961165309,a
28752,ffs,1,1,2,0,1,4,8,12,27,0.07407407407407407,0.0,0.037037037037037035,0.14814814814814814,0.2962962962962963,0.4444444444444444,0.4988530566353992,a
28776,judes,1,1,2,0,0,0,4,7,13,0.15384615384615385,0.0,0.0,0.0,0.3076923076923077,0.5384615384615384,0.48623518750867134,a
28849,march 2011,4,2,1,0,0,0,1,4,6,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6430974269246501,a
28890,jason,0,1,13,0,2,3,13,10,41,0.3170731707317073,0.0,0.04878048780487805,0.07317073170731707,0.3170731707317073,0.24390243902439024,0.6081056869945595,a
28897,v2,2,1,0,0,0,2,2,2,6,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5050153475316219,a
28926,dino,0,1,5,0,0,1,7,5,18,0.2777777777777778,0.0,0.0,0.05555555555555555,0.3888888888888889,0.2777777777777778,0.5041810091945096,a
28930,autistic,0,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
28940,may allah,0,2,2,6,0,0,0,1,9,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111,0.47742602472257084,a
29005,thanking,1,1,1,0,2,0,1,1,5,0.2,0.0,0.4,0.0,0.2,0.2,0.4827846427769239,a
29021,dub,2,1,6,0,0,0,8,3,17,0.35294117647058826,0.0,0.0,0.0,0.47058823529411764,0.17647058823529413,0.4289651815218871,a
29080,ema,0,1,4,0,0,0,6,3,13,0.3076923076923077,0.0,0.0,0.0,0.46153846153846156,0.23076923076923078,0.4077654538180481,a
29146,hayden,1,1,2,0,1,0,2,4,9,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,0.5939879634863878,a
29265,watching rugby,2,2,1,2,0,0,1,1,5,0.2,0.4,0.0,0.0,0.2,0.2,0.41545443017564754,a
29379,julie,1,1,5,0,1,0,4,7,17,0.29411764705882354,0.0,0.058823529411764705,0.0,0.23529411764705882,0.4117647058823529,0.6477287135030941,a
29399,bam,0,1,3,0,1,9,11,14,38,0.07894736842105263,0.0,0.02631578947368421,0.23684210526315788,0.2894736842105263,0.3684210526315789,0.5575703020687259,a
29412,mystic,0,1,1,0,0,0,2,5,8,0.125,0.0,0.0,0.0,0.25,0.625,0.5328073371740017,a
29473,rcti,0,1,1,0,2,22,15,6,46,0.021739130434782608,0.0,0.043478260869565216,0.4782608695652174,0.32608695652173914,0.13043478260869565,0.5757617853180148,a
29477,kass,0,1,1,0,1,0,1,2,5,0.2,0.0,0.2,0.0,0.2,0.4,0.5688460583186827,a
29555,thnk god,0,2,1,3,0,0,0,1,5,0.2,0.6,0.0,0.0,0.0,0.2,0.5048320428748453,a
29562,htc,1,1,1,0,2,7,5,11,26,0.038461538461538464,0.0,0.07692307692307693,0.2692307692307692,0.19230769230769232,0.4230769230769231,0.6340021021845679,a
29686,aberdeen,0,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
29815,golden,0,1,13,0,7,0,23,26,69,0.18840579710144928,0.0,0.10144927536231885,0.0,0.3333333333333333,0.37681159420289856,0.4387444253254924,a
29819,grenade,0,1,18,0,1,3,21,32,75,0.24,0.0,0.013333333333333334,0.04,0.28,0.4266666666666667,0.5960321451599644,a
29946,pto,1,1,5,0,0,0,6,3,14,0.35714285714285715,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.4860558783480232,a
29953,vidi,1,1,1,0,1,0,2,4,8,0.125,0.0,0.125,0.0,0.25,0.5,0.48388222221394345,a
30000,milk shake,1,2,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6355943902134669,a
30294,traits,2,1,1,0,1,0,2,3,7,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.4462659813901214,a
30353,finding nemo,0,2,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5690848983030309,a
30381,widi,4,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
30469,year of the rabbit,1,4,4,0,0,0,1,1,6,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6114734189620918,a
30515,dell,1,1,7,0,1,2,12,16,38,0.18421052631578946,0.0,0.02631578947368421,0.05263157894736842,0.3157894736842105,0.42105263157894735,0.514167759011514,a
30516,watch video,3,2,0,2,0,1,2,6,11,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.4447092534659037,a
30517,san miguel,2,2,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6355943902134669,a
30567,joshua,0,1,16,0,2,1,14,6,39,0.41025641025641024,0.0,0.05128205128205128,0.02564102564102564,0.358974358974359,0.15384615384615385,0.600817051778147,a
30611,6 feb,3,2,1,0,0,0,2,6,9,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.545818305935248,a
30750,lose weight fast,1,3,1,0,0,0,1,5,7,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.534739878770422,a
30752,harmonia,1,1,3,0,0,1,3,0,7,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.5972243604052757,a
30795,tdor,2,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
30831,yeti,3,1,2,0,0,0,3,3,8,0.25,0.0,0.0,0.0,0.375,0.375,0.47493986646133024,a
30845,jae,0,1,5,0,0,0,6,8,19,0.2631578947368421,0.0,0.0,0.0,0.3157894736842105,0.42105263157894735,0.5574185017842322,a
30939,your momma,0,2,1,2,0,0,0,3,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.6426136944595499,a
30998,sudan,1,1,2,0,1,0,2,2,7,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.553002324719927,a
31058,representative,4,1,0,0,0,1,1,3,5,0.0,0.0,0.0,0.2,0.2,0.6,0.5955806358546517,a
31167,hackers,0,1,22,0,10,0,23,7,62,0.3548387096774194,0.0,0.16129032258064516,0.0,0.3709677419354839,0.11290322580645161,0.48871655400110703,a
31252,medicina,2,1,3,0,0,0,3,2,8,0.375,0.0,0.0,0.0,0.375,0.25,0.5663208153487131,a
31275,smith,0,1,8,0,5,3,15,25,56,0.14285714285714285,0.0,0.08928571428571429,0.05357142857142857,0.26785714285714285,0.44642857142857145,0.51664921373326,a
31316,byob,1,1,0,0,0,1,1,3,5,0.0,0.0,0.0,0.2,0.2,0.6,0.5955806358546517,a
31334,guiness,1,1,3,0,0,0,3,0,6,0.5,0.0,0.0,0.0,0.5,0.0,0.49649397740925777,a
31406,xdrt,1,1,0,5,0,3,0,1,9,0.0,0.5555555555555556,0.0,0.3333333333333333,0.0,0.1111111111111111,0.5806645393528527,a
31436,home run,4,2,2,0,0,0,3,6,11,0.18181818181818182,0.0,0.0,0.0,0.2727272727272727,0.5454545454545454,0.546569561114769,a
31519,vargas,0,1,4,0,0,1,4,3,12,0.3333333333333333,0.0,0.0,0.08333333333333333,0.3333333333333333,0.25,0.6229757655420428,a
31631,bip,3,1,0,0,0,3,2,2,7,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.6046155284445963,a
31645,st,0,1,63,0,3,11,135,240,452,0.13938053097345132,0.0,0.00663716814159292,0.024336283185840708,0.29867256637168144,0.5309734513274337,0.49570772874516383,a
31677,lago,2,1,6,0,0,0,5,6,17,0.35294117647058826,0.0,0.0,0.0,0.29411764705882354,0.35294117647058826,0.6440628895770942,a
31738,jap,0,1,14,0,3,1,11,5,34,0.4117647058823529,0.0,0.08823529411764706,0.029411764705882353,0.3235294117647059,0.14705882352941177,0.6302209469384148,a
31742,kuwait,3,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
31769,qto,4,1,2,0,0,0,2,3,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6080951354070865,a
31826,maacih,0,1,10,0,8,0,12,2,32,0.3125,0.0,0.25,0.0,0.375,0.0625,0.41318517433854274,a
31847,freeware,4,1,1,0,0,0,1,3,5,0.2,0.0,0.0,0.0,0.2,0.6,0.6401381209401223,a
31971,rizky,0,1,4,0,0,0,3,0,7,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0,0.6326761070556457,a
32052,web developer,3,2,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.4146098373234487,a
32225,galleria,5,1,2,0,0,0,2,2,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.58681772774408,a
32264,senayan city,0,2,5,0,0,0,5,1,11,0.45454545454545453,0.0,0.0,0.0,0.45454545454545453,0.09090909090909091,0.5452842401389685,a
32273,van gogh,2,2,4,3,0,0,2,2,11,0.36363636363636365,0.2727272727272727,0.0,0.0,0.18181818181818182,0.18181818181818182,0.6378360468872378,a
32288,amo tanto,0,2,0,0,0,2,2,1,5,0.0,0.0,0.0,0.4,0.4,0.2,0.42285160903244856,a
32301,barca,0,1,32,0,11,1,43,25,112,0.2857142857142857,0.0,0.09821428571428571,0.008928571428571428,0.38392857142857145,0.22321428571428573,0.45267234495611863,a
32348,vietnam,1,1,2,0,1,0,2,7,12,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.5833333333333334,0.6243945202138312,a
32521,fml,0,1,1,0,5,20,29,47,102,0.00980392156862745,0.0,0.049019607843137254,0.19607843137254902,0.28431372549019607,0.46078431372549017,0.48499551874517016,a
32540,piazza,2,1,2,0,0,0,2,1,5,0.4,0.0,0.0,0.0,0.4,0.2,0.5532578001388209,a
32596,lil wayne,0,2,26,8,0,0,29,39,102,0.2549019607843137,0.0784313725490196,0.0,0.0,0.28431372549019607,0.38235294117647056,0.5500613872294855,a
32612,blackberry,0,1,43,0,1,1,63,37,145,0.296551724137931,0.0,0.006896551724137931,0.006896551724137931,0.43448275862068964,0.25517241379310346,0.4342428480626606,a
32653,fresno,0,1,6,0,1,0,5,5,17,0.35294117647058826,0.0,0.058823529411764705,0.0,0.29411764705882354,0.29411764705882354,0.6233428041284443,a
