,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
14883,huum,2,1,1,0,1,1,3,7,13,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.5384615384615384,0.5282698994167169,a
14927,epa,0,1,4,0,4,8,9,6,31,0.12903225806451613,0.0,0.12903225806451613,0.25806451612903225,0.2903225806451613,0.1935483870967742,0.5588297543447364,a
14943,oiie,3,1,3,0,2,0,7,9,21,0.14285714285714285,0.0,0.09523809523809523,0.0,0.3333333333333333,0.42857142857142855,0.40774623600759563,a
15023,muzik,1,1,1,0,0,0,2,4,7,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.5043697706606394,a
15058,manuel,0,1,3,0,2,0,4,11,20,0.15,0.0,0.1,0.0,0.2,0.55,0.5708795725834652,a
15080,ag,0,1,7,0,2,6,15,7,37,0.1891891891891892,0.0,0.05405405405405406,0.16216216216216217,0.40540540540540543,0.1891891891891892,0.44476935495628156,a
15110,pepe,0,1,10,0,1,0,8,7,26,0.38461538461538464,0.0,0.038461538461538464,0.0,0.3076923076923077,0.2692307692307692,0.6366240358736105,a
15155,super bowl recipes,0,3,2,0,0,0,1,5,8,0.25,0.0,0.0,0.0,0.125,0.625,0.6210401248618898,a
15193,acompanhe,2,1,2,0,6,0,2,1,11,0.18181818181818182,0.0,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.4259942594957148,a
15255,ibs,2,1,0,0,0,2,2,2,6,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5050153475316219,a
15346,territory,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
15356,colts,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
15409,long island,1,2,2,1,0,1,4,3,11,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.4290152857000997,a
15533,kade,1,1,4,0,2,0,3,2,11,0.36363636363636365,0.0,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.6077331397740281,a
15565,ketinggalan,5,1,3,0,1,0,4,2,10,0.3,0.0,0.1,0.0,0.4,0.2,0.43778971737135064,a
15573,tvone,0,1,2,4,0,1,1,6,14,0.14285714285714285,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.6402887922088508,a
15639,quizas,1,1,2,0,1,0,4,5,12,0.16666666666666666,0.0,0.08333333333333333,0.0,0.3333333333333333,0.4166666666666667,0.4302333059940072,a
15664,steel,0,1,4,0,1,2,11,20,38,0.10526315789473684,0.0,0.02631578947368421,0.05263157894736842,0.2894736842105263,0.5263157894736842,0.4875286239143777,a
15667,uhr,1,1,2,0,0,0,3,5,10,0.2,0.0,0.0,0.0,0.3,0.5,0.5298694308266991,a
15670,epica,0,1,1,0,0,1,2,1,5,0.2,0.0,0.0,0.2,0.4,0.2,0.5007045183365324,a
15711,elite,0,1,6,0,0,0,7,8,21,0.2857142857142857,0.0,0.0,0.0,0.3333333333333333,0.38095238095238093,0.5528086045424568,a
15713,fergie time,0,2,3,2,0,0,2,0,7,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.5623361643621292,a
15719,na unesp,0,2,1,1,0,0,1,2,5,0.2,0.2,0.0,0.0,0.2,0.4,0.5348331575037031,a
15728,4br,0,1,0,0,0,0,1,4,5,0.0,0.0,0.0,0.0,0.2,0.8,0.4964721598788954,a
15742,athletic,0,1,8,0,2,0,8,5,23,0.34782608695652173,0.0,0.08695652173913043,0.0,0.34782608695652173,0.21739130434782608,0.5449953715125518,a
15798,pattaya,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
15852,oja,0,1,3,0,3,0,3,0,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.44399051439720705,a
15866,donghae,0,1,6,0,4,3,11,5,29,0.20689655172413793,0.0,0.13793103448275862,0.10344827586206896,0.3793103448275862,0.1724137931034483,0.4269369171829485,a
