,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
1844,great,0,1,1,0,25,1,212,11,250,0.14220511072096245,0.004,0.0,0.1,0.004,0.848,0.044,0.00319924619170992,b
1846,johnny depp,0,2,21,0,0,0,0,4,25,-0.07046205363105315,0.84,0.0,0.0,0.0,0.0,0.16,0.9717289089745137,g
1850,islam,0,1,39,0,2,0,0,12,53,-0.0439968065116912,0.7358490566037735,0.0,0.03773584905660377,0.0,0.0,0.22641509433962265,0.9680363094843217,g
1851,late great,0,2,1,1,0,0,90,4,96,-0.0033537484355282187,0.010416666666666666,0.010416666666666666,0.0,0.0,0.9375,0.041666666666666664,0.0016856801032877745,b
1852,dead,0,1,0,0,0,1,22,2,25,-0.07046205363105315,0.0,0.0,0.0,0.04,0.88,0.08,0.002751901156640738,b
1853,black muslims,0,2,29,0,0,0,2,0,31,-0.06479092924833273,0.9354838709677419,0.0,0.0,0.0,0.06451612903225806,0.0,0.9739597799482347,g
1858,opinion,0,1,0,0,0,4,2,0,6,-0.08842061417633447,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.4143604081887017,a
1861,rally,0,1,9,0,0,0,2,0,11,-0.08369467719073412,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.9357725086389945,g
1862,new york city,0,3,13,0,0,0,0,0,13,-0.08180430239649399,1.0,0.0,0.0,0.0,0.0,0.0,0.9652185019761497,g
1866,young people,0,2,3,0,0,0,3,0,6,-0.08842061417633447,0.5,0.0,0.0,0.0,0.5,0.0,0.20963032757607442,b
1869,may,0,1,5,0,122,0,14,18,159,0.05619305758303616,0.031446540880503145,0.0,0.7672955974842768,0.0,0.0880503144654088,0.11320754716981132,0.441121871466358,a
1874,democrat party,0,2,3,2,0,0,1,0,6,-0.08842061417633447,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.6536628002670891,a
1875,man,0,1,1,0,1,17,6536,21,6576,6.121460584902522,0.00015206812652068127,0.0,0.00015206812652068127,0.0025851581508515814,0.9939172749391727,0.0031934306569343066,0.0013863711821833246,b
1880,nora ephron 1941,0,3,0,5,0,0,0,0,5,-0.08936580157345454,0.0,1.0,0.0,0.0,0.0,0.0,0.2168189219440287,b
1881,heaven,0,1,2,0,0,0,8,1,11,-0.08369467719073412,0.18181818181818182,0.0,0.0,0.0,0.7272727272727273,0.09090909090909091,0.01429319967321344,b
1882,rac,0,1,0,0,0,178,0,0,178,0.07415161812831747,0.0,0.0,0.0,1.0,0.0,0.0,0.9413243610638287,g
1883,weak,0,1,0,0,0,0,7,0,7,-0.0874754267792144,0.0,0.0,0.0,0.0,1.0,0.0,0.001335749520300652,b
1886,calling,0,1,1,0,0,0,166,0,167,0.06375455675999671,0.005988023952095809,0.0,0.0,0.0,0.9940119760479041,0.0,0.00141299464219764,b
1892,plymouth rock,0,2,6,2,0,0,0,1,9,-0.08558505198497426,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.9297802220025092,g
1893,martyrdom,0,1,7,0,0,0,1,0,8,-0.08653023938209432,0.875,0.0,0.0,0.0,0.125,0.0,0.9646519113377335,g
1899,wfu on king day,0,4,13,0,0,0,0,0,13,-0.08180430239649399,1.0,0.0,0.0,0.0,0.0,0.0,0.9053297569121197,g
1906,lost,0,1,0,0,1,3,83,1,88,-0.010915247612488774,0.0,0.0,0.011363636363636364,0.03409090909090909,0.9431818181818182,0.011363636363636364,0.0019650322216077103,b
1907,1930 grace jones,0,3,0,8,0,0,0,0,8,-0.08653023938209432,0.0,1.0,0.0,0.0,0.0,0.0,0.2168189219440287,b
1908,honoring malcolm x,0,3,4,4,0,0,0,0,8,-0.08653023938209432,0.5,0.5,0.0,0.0,0.0,0.0,0.7366735905461318,a
1911,instead,0,1,1,0,0,0,8,0,9,-0.08558505198497426,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.0,0.003995582481981184,b
1914,truly,0,1,1,0,3,10,1053,0,1067,0.9144232141680592,0.0009372071227741331,0.0,0.0028116213683223993,0.00937207122774133,0.9868791002811621,0.0,0.001470961367254646,b
1918,martin luther king jr,0,4,3,0,0,0,0,10,13,-0.08180430239649399,0.23076923076923078,0.0,0.0,0.0,0.0,0.7692307692307693,0.5492723116644659,a
1920,muslim in america,0,3,9,0,0,0,0,0,9,-0.08558505198497426,1.0,0.0,0.0,0.0,0.0,0.0,0.9652185019761497,g
1924,legacy,0,1,0,0,0,0,134,11,145,0.042960434023355185,0.0,0.0,0.0,0.0,0.9241379310344827,0.07586206896551724,0.001940285899105857,b
1925,malcolm x may,0,3,4,3,0,0,0,1,8,-0.08653023938209432,0.5,0.375,0.0,0.0,0.0,0.125,0.7527561121586392,g
1927,youtube,0,1,9,0,0,0,0,1,10,-0.08463986458785419,0.9,0.0,0.0,0.0,0.0,0.1,0.9847538681728745,g
