candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
muslims,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
christian,0,1,7,0,0,0,0,0,7,0.0973439581,1,0,0,0,0,0,0.9837785998,g,1
manafort,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
zayn,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
malibu,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
rice,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
david,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
europeans,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
africans,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
english,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
russians,0,1,5,0,0,0,0,0,5,-0.033888434,1,0,0,0,0,0,0.9837785998,g,1
hillary,0,1,11,0,0,0,0,0,11,0.3598087423,1,0,0,0,0,0,0.9837785998,g,1
canadian,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
village,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9837785998,g,1
aldo,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9837785998,g,1
flynn,0,1,9,0,0,1,0,0,10,0.2941925463,0.9,0,0,0.1,0,0,0.9819361847,g,1
australian,0,1,8,0,0,0,0,1,9,0.2285763502,0.8888888889,0,0,0,0,0.1111111111,0.975655292,g,1
donald trump,0,2,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9753824518,g,1
jeff sessions,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9753824518,g,1
susan rice,0,2,5,0,0,0,0,0,5,-0.033888434,1,0,0,0,0,0,0.9753824518,g,1
washington post,0,2,23,0,0,0,0,0,23,1.147203095,1,0,0,0,0,0,0.9753824518,g,1
hailee steinfeld,0,2,7,0,0,0,0,0,7,0.0973439581,1,0,0,0,0,0,0.9753824518,g,1
rodriguez get,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9753824518,g,1
damian maia,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9753824518,g,1
eddie alvarez,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9753824518,g,1
bad things,0,2,6,0,0,0,0,0,6,0.031727762,1,0,0,0,0,0,0.9753824518,g,1
wapo,0,1,3,0,0,2,0,0,5,-0.033888434,0.6,0,0,0.4,0,0,0.9732607471,g,1
hitler,0,1,6,0,0,0,0,1,7,0.0973439581,0.8571428571,0,0,0,0,0.1428571429,0.9724760296,g,1
trumpcare,0,1,6,0,0,0,0,1,7,0.0973439581,0.8571428571,0,0,0,0,0.1428571429,0.9724760296,g,1
russia,0,1,42,0,2,0,2,1,47,2.7219918004,0.8936170213,0,0.0425531915,0,0.0425531915,0.0212765957,0.9710603186,g,1
house republicans,0,2,34,0,0,0,0,2,36,2.0002136437,0.9444444444,0,0,0,0,0.0555555556,0.9701664619,g,1
jolene,0,1,5,0,0,0,0,1,6,0.031727762,0.8333333333,0,0,0,0,0.1666666667,0.9697719425,g,1
this town,0,2,5,0,0,1,0,0,6,0.031727762,0.8333333333,0,0,0.1666666667,0,0,0.9688582891,g,1
jorge,0,1,7,0,2,0,0,0,9,0.2285763502,0.7777777778,0,0.2222222222,0,0,0,0.9679651994,g,1
frankie edgar,0,2,22,1,0,0,0,1,24,1.2128192911,0.9166666667,0.0416666667,0,0,0,0.0416666667,0.9672097242,g,1
lynch,0,1,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.965460951,g,1
