,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
5628,raw story,0,2,5,0,0,0,0,0,5,-0.09950952544717852,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5629,not!liar,0,1,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.9432377892256483,g
5630,brandenburg gate,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5631,rupublican jewish,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5632,15th time,0,2,0,1,0,0,0,0,1,-0.13364720003569303,0.0,1.0,0.0,0.0,0.0,0.0,0.22414686698628813,b
5633,college voice of connecticut,0,4,2,0,0,0,0,0,2,-0.12511278138856438,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5634,full,0,1,2,0,10,0,122,13,147,1.1123779224450863,0.013605442176870748,0.0,0.06802721088435375,0.0,0.8299319727891157,0.08843537414965986,0.003426413652603226,b
5635,holocost centers,0,2,1,0,0,0,1,0,2,-0.12511278138856438,0.5,0.0,0.0,0.0,0.5,0.0,0.20937802218311852,b
5636,go digging holes,0,3,0,0,0,1,0,0,1,-0.13364720003569303,0.0,0.0,0.0,1.0,0.0,0.0,0.7508460847608521,g
5637,holocaustco,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
5638,picus news,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5639,retweeted politico,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5640,article ii,0,2,2,0,0,0,0,0,2,-0.12511278138856438,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5641,home depot,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
5642,regardless of sean spicer,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5643,thegoodgodabove,0,1,1,0,3,0,0,0,4,-0.10804394409430715,0.25,0.0,0.75,0.0,0.0,0.0,0.8099786414933403,g
5644,anti semite sean spicer,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
5645,indict susan,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
