candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
his book,0,2,4,0,0,0,3,0,7,-0.1081293716,0.5714285714,0,0,0,0.4285714286,0,0.4764679321,a,2
el hajj malik shabazz,0,4,1,1,0,0,0,2,4,-0.1131504756,0.25,0.25,0,0,0,0.5,0.4747201958,a,2
anthony weiner malcolm x,0,4,2,0,0,0,1,2,5,-0.1114767743,0.4,0,0,0,0.2,0.4,0.4722478702,a,2
rest in power malcolm x,0,5,1,1,0,0,0,5,7,-0.1081293716,0.1428571429,0.1428571429,0,0,0,0.7142857143,0.4627875994,a,2
day malcolm x,0,3,1,3,0,0,0,0,4,-0.1131504756,0.25,0.75,0,0,0,0,0.4587690741,a,2
celebrate malcolm x,0,3,2,7,0,0,0,0,9,-0.104781969,0.2222222222,0.7777777778,0,0,0,0,0.4302329298,a,2
happy 92nd birthday malcolm x,0,5,0,1,0,0,0,6,7,-0.1081293716,0,0.1428571429,0,0,0,0.8571428571,0.4293380416,a,2
may,0,1,1,0,27,0,5,3,36,-0.0595920328,0.0277777778,0,0.75,0,0.1388888889,0.0833333333,0.4230899807,a,2
civil rights activist malcolm x,0,5,1,6,0,0,0,1,8,-0.1064556703,0.125,0.75,0,0,0,0.125,0.4071874163,a,2
bob beckel,0,2,3,0,0,0,0,493,496,0.7103105827,0.0060483871,0,0,0,0,0.9939516129,0.4008219845,a,2
happy malcolm x day,0,4,19,42,0,1,1,104,167,0.1596628425,0.1137724551,0.251497006,0,0.005988024,0.005988024,0.622754491,0.3996253111,b,3
truth,0,1,7,0,703,4,132,3,849,1.301127155,0.0082449941,0,0.82803298,0.0047114252,0.1554770318,0.0035335689,0.3972761649,b,3
allah,0,1,4,0,2,0,4,0,10,-0.1031082676,0.4,0,0.2,0,0.4,0,0.3964214306,b,3
im,0,1,1,0,0,0,1,2,4,-0.1131504756,0.25,0,0,0,0.25,0.5,0.3958591225,b,3
happy birthday,0,2,252,2197,0,2,25,723,3199,5.2343252995,0.0787746171,0.6867771178,0,0.0006251954,0.0078149422,0.2260081275,0.3911558112,b,3
malcolm x yuri kochiyama,0,4,0,0,0,0,0,106,106,0.0575670608,0,0,0,0,0,1,0.3862002355,b,3
minister malcolm x,0,3,2,10,0,0,0,34,46,-0.0428550194,0.0434782609,0.2173913043,0,0,0,0.7391304348,0.3626015929,b,3
happy,0,1,0,0,10,0,5,39,54,-0.0294654087,0,0,0.1851851852,0,0.0925925926,0.7222222222,0.3614769069,b,3
words of malcolm x,0,4,3,15,0,0,0,0,18,-0.0897186569,0.1666666667,0.8333333333,0,0,0,0,0.3600291813,b,3
birth of malcolm x,0,4,1,5,0,0,0,0,6,-0.109803073,0.1666666667,0.8333333333,0,0,0,0,0.3600291813,b,3
reading malcolm x,0,3,1,6,0,0,0,0,7,-0.1081293716,0.1428571429,0.8571428571,0,0,0,0,0.3553779515,b,3
happy born day,0,3,5,34,0,0,0,113,152,0.1345573224,0.0328947368,0.2236842105,0,0,0,0.7434210526,0.354011365,b,3
happy bday malcolm x,0,4,1,8,0,0,0,12,21,-0.0846975529,0.0476190476,0.380952381,0,0,0,0.5714285714,0.3538589693,b,3
prophet,0,1,3,0,0,0,3,0,6,-0.109803073,0.5,0,0,0,0.5,0,0.3451595423,b,3
dark,0,1,2,0,0,0,2,0,4,-0.1131504756,0.5,0,0,0,0.5,0,0.3451595423,b,3
votes,0,1,2,0,0,0,2,0,4,-0.1131504756,0.5,0,0,0,0.5,0,0.3451595423,b,3
–malcolm x,0,2,0,16,0,0,0,18,34,-0.0629394355,0,0.4705882353,0,0,0,0.5294117647,0.3425113954,b,3
brother malcolm x,0,3,5,35,0,0,0,4,44,-0.0462024221,0.1136363636,0.7954545455,0,0,0,0.0909090909,0.340037124,b,3
happy 92nd,0,2,0,2,0,0,0,2,4,-0.1131504756,0,0.5,0,0,0,0.5,0.3395616871,b,3
happy birthday malcolm x,0,4,46,506,0,2,0,430,984,1.5270768357,0.0467479675,0.5142276423,0,0.0020325203,0,0.4369918699,0.3376132692,b,3
el,0,1,70,0,72,0,92,15,249,0.2969063522,0.281124498,0,0.2891566265,0,0.3694779116,0.0602409639,0.3129452643,b,3
may 19,0,2,0,414,0,0,0,82,496,0.7103105827,0,0.8346774194,0,0,0,0.1653225806,0.3061290967,b,3
may 19th,0,2,0,134,0,0,0,24,158,0.1445995304,0,0.8481012658,0,0,0,0.1518987342,0.305137234,b,3
4 harlem,0,2,0,58,0,0,0,0,58,-0.0227706034,0,1,0,0,0,0,0.2953696111,b,3
11x14 bristol,0,2,0,8,0,0,0,0,8,-0.1064556703,0,1,0,0,0,0,0.2953696111,b,3
19 may,0,2,0,4,0,0,0,0,4,-0.1131504756,0,1,0,0,0,0,0.2953696111,b,3
birthday of malcolm x,0,4,6,140,0,0,0,0,146,0.1245151144,0.0410958904,0.9589041096,0,0,0,0,0.290078617,b,3
happy bday,0,2,1,8,0,0,2,9,20,-0.0863712542,0.05,0.4,0,0,0.1,0.45,0.2787780137,b,3
american muslim minister,0,3,1,18,0,0,0,0,19,-0.0880449556,0.0526315789,0.9473684211,0,0,0,0,0.2781045154,b,3
born 19 may 1925,0,4,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2708824439,b,3
malcolm x 92nd birthday,0,4,0,5,0,0,0,0,5,-0.1114767743,0,1,0,0,0,0,0.2708824439,b,3
happy 92nd birthday,0,3,0,32,0,0,0,15,47,-0.0411813181,0,0.6808510638,0,0,0,0.3191489362,0.2674083875,b,3
great malcolm x,0,3,1,89,0,0,0,7,97,0.0425037488,0.0103092784,0.9175257732,0,0,0,0.0721649485,0.2528059118,b,3
