,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
942,kevin droopyballs,5,2,11,0,0,0,0,0,11,0,-0.09805294527189877,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
945,marine corps,16,2,77,0,0,0,0,0,77,0,-0.03958939251429859,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
947,place,0,1,3,0,0,0,112,2,117,0,-0.0041569362975712055,0.02564102564102564,0.0,0.0,0.0,0.9572649572649573,0.017094017094017096,0.0042349804141731074,b
950,egypt,3,1,40,0,0,0,0,0,40,0,-0.07236441451477142,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
951,election,1,1,1,0,0,1,116,3,121,0,-0.0006136906758984673,0.008264462809917356,0.0,0.0,0.008264462809917356,0.9586776859504132,0.024793388429752067,0.003995327436173182,b
952,former democrat,1,2,10,378,0,0,0,0,388,0,0.23589795457075682,0.02577319587628866,0.9742268041237113,0.0,0.0,0.0,0.0,0.3141752786875443,b
954,deplorable,2,1,2,0,0,0,561,0,563,0,0.3909149505189391,0.003552397868561279,0.0,0.0,0.0,0.9964476021314387,0.0,0.003248019317243415,b
957,charlotte,0,1,24,0,0,0,0,0,24,0,-0.08653739700146237,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
960,present,16,1,6,0,0,0,647,2,655,0,0.4724095998174121,0.00916030534351145,0.0,0.0,0.0,0.9877862595419847,0.0030534351145038168,0.00345206095956552,b
961,shocker,7,1,1,0,0,0,11,1,13,0,-0.0962813224610624,0.07692307692307693,0.0,0.0,0.0,0.8461538461538461,0.07692307692307693,0.008961863941984333,b
964,pleads,5,1,1,0,0,0,11,3,15,0,-0.09450969965022604,0.06666666666666667,0.0,0.0,0.0,0.7333333333333333,0.2,0.015417670242774902,b
967,eyes,2,1,0,0,0,1,21,2,24,0,-0.08653739700146237,0.0,0.0,0.0,0.041666666666666664,0.875,0.08333333333333333,0.006236623142551929,b
968,har,7,1,0,0,0,18,0,0,18,0,-0.09185226543397149,0.0,0.0,0.0,1.0,0.0,0.0,0.9392691224376746,g
973,adult,3,1,0,0,1,1,16,0,18,0,-0.09185226543397149,0.0,0.0,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.0,0.006279270492340083,b
980,beeyotch,7,1,9,0,0,0,0,5,14,0,-0.09539551105564423,0.6428571428571429,0.0,0.0,0.0,0.0,0.35714285714285715,0.9445936027138768,g
981,related articles,2,2,42,0,0,0,0,3,45,0,-0.0679353574876805,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.978679785684881,g
983,humiliated huma,2,2,453,1,0,0,0,0,454,0,0.294361507328357,0.9977973568281938,0.0022026431718061676,0.0,0.0,0.0,0.0,0.9834436070344397,g
984,safety,12,1,1,0,0,0,33,0,34,0,-0.07767928294728053,0.029411764705882353,0.0,0.0,0.0,0.9705882352941176,0.0,0.004057744344200754,b
985,seek,12,1,0,0,1,1,50,0,52,0,-0.061734677649753204,0.0,0.0,0.019230769230769232,0.019230769230769232,0.9615384615384616,0.0,0.0039709603789368575,b
995,twitter,0,1,579,0,11,0,57,82,729,0,0.5379596438183578,0.7942386831275721,0.0,0.015089163237311385,0.0,0.07818930041152264,0.11248285322359397,0.9583399213505714,g
999,past,16,1,7,0,0,0,648,5,660,0,0.47683865684450305,0.010606060606060607,0.0,0.0,0.0,0.9818181818181818,0.007575757575757576,0.0035641960036249436,b
1000,wish,0,1,2,0,6,0,153,4,165,0,0.03836201116250165,0.012121212121212121,0.0,0.03636363636363636,0.0,0.9272727272727272,0.024242424242424242,0.00468032372853194,b
1009,anthony weiner,0,2,76172,147,0,60,123,8621,85123,0,75.29512739268063,0.8948462812635832,0.001726912820271842,0.0,0.0007048623756211599,0.001444967870023378,0.10127697567050034,0.9748976379635411,g
1015,pedophilia,1,1,10,0,26,15,1791,39,1881,0,1.5584143828601065,0.00531632110579479,0.0,0.013822434875066455,0.007974481658692184,0.9521531100478469,0.02073365231259968,0.0040923323037480655,b
1020,soldier,16,1,5,0,1,0,46,23,75,0,-0.04136101532513496,0.06666666666666667,0.0,0.013333333333333334,0.0,0.6133333333333333,0.30666666666666664,0.030293255736663017,b
1024,wonderful,15,1,5,0,3,0,20,0,28,0,-0.08299415137978963,0.17857142857142858,0.0,0.10714285714285714,0.0,0.7142857142857143,0.0,0.03055507237342012,b
1025,inside air force one,0,4,4,34,0,1,0,2,41,0,-0.07147860310935324,0.0975609756097561,0.8292682926829268,0.0,0.024390243902439025,0.0,0.04878048780487805,0.4386319317284492,a
1029,clinton,0,1,1171,0,66,1,16,30,1284,0,1.0295849738254503,0.911993769470405,0.0,0.0514018691588785,0.000778816199376947,0.012461059190031152,0.02336448598130841,0.9825505276568072,g
1030,anthony wei,6,2,36,0,0,0,0,1052,1088,0,0.855965938363486,0.03308823529411765,0.0,0.0,0.0,0.0,0.9669117647058824,0.41776715709463,a
1036,l,6,1,1,0,0,8,16,7,32,0,-0.0794509057581169,0.03125,0.0,0.0,0.25,0.5,0.21875,0.0921068504219007,b
1040,vp pence,17,2,14,0,0,1,0,1,16,0,-0.09362388824480786,0.875,0.0,0.0,0.0625,0.0,0.0625,0.9764397774038717,g
1052,zero,0,1,3,0,4,236,189,0,432,0,0.27487365640915695,0.006944444444444444,0.0,0.009259259259259259,0.5462962962962963,0.4375,0.0,0.25890850606419863,b
1055,conway posts phony tweet,15,4,23,0,0,0,0,0,23,0,-0.08742320840688056,1.0,0.0,0.0,0.0,0.0,0.0,0.9064113614370501,g
1062,potus trump,16,2,291,0,0,4,0,0,295,0,0.15351749386686564,0.9864406779661017,0.0,0.0,0.013559322033898305,0.0,0.0,0.9832064699403948,g
1068,anthony weiner years,13,3,1,17,0,0,0,0,18,0,-0.09185226543397149,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,0.32923079690215656,b
1074,tough,6,1,1,0,1,0,17,6,25,0,-0.08565158559604419,0.04,0.0,0.04,0.0,0.68,0.24,0.018730931608196402,b
1077,trump haters,12,2,1,217,0,0,0,0,218,0,0.08531001564966544,0.0045871559633027525,0.9954128440366973,0.0,0.0,0.0,0.0,0.2942596833863036,b
1078,protecting,16,1,2,0,0,0,138,3,143,0,0.018874160243301595,0.013986013986013986,0.0,0.0,0.0,0.965034965034965,0.02097902097902098,0.0038920700408777093,b
1080,registered,3,1,0,0,0,0,1091,37,1128,0,0.8913983945802134,0.0,0.0,0.0,0.0,0.9671985815602837,0.03280141843971631,0.0036335188098669405,b
1083,serves,16,1,0,0,0,1,14,0,15,0,-0.09450969965022604,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.005088974685832656,b
1084,sexting teen girl,2,3,51,0,0,0,6,11,68,0,-0.04756169516306225,0.75,0.0,0.0,0.0,0.08823529411764706,0.16176470588235295,0.8820656494327557,g
1086,dodge,0,1,1,0,0,0,42,5,48,0,-0.06527792327142594,0.020833333333333332,0.0,0.0,0.0,0.875,0.10416666666666667,0.006094460820872796,b
1087,ecuadorian embassy,0,2,11,1,0,0,0,0,12,0,-0.09716713386648058,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.9765708885764509,g
1090,2each,18,1,0,0,0,0,16,0,16,0,-0.09362388824480786,0.0,0.0,0.0,0.0,1.0,0.0,0.0031516051485132664,b
1097,beginning,4,1,2,0,0,1,16,7,26,0,-0.084765774190626,0.07692307692307693,0.0,0.0,0.038461538461538464,0.6153846153846154,0.2692307692307692,0.034358153309264665,b
1106,typical democrat,13,2,4,3,0,0,0,3,10,0,-0.09893875667731696,0.4,0.3,0.0,0.0,0.0,0.3,0.7758540725910749,g
1112,perfect,0,1,1,0,10,0,51,17,79,0,-0.03781776970346222,0.012658227848101266,0.0,0.12658227848101267,0.0,0.6455696202531646,0.21518987341772153,0.02108446259057961,b
1115,buy,1,1,2,0,3,1,12,3,21,0,-0.08919483121771693,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,0.5714285714285714,0.14285714285714285,0.05312166795474054,b
1117,wifi on air force one,0,5,2,13,0,0,3,1,19,0,-0.0909664540285533,0.10526315789473684,0.6842105263157895,0.0,0.0,0.15789473684210525,0.05263157894736842,0.48746484687920316,a
1119,🤘🏻turkish style,16,2,0,0,0,16,0,0,16,0,-0.09362388824480786,0.0,0.0,0.0,1.0,0.0,0.0,0.8858837742676191,g
1127,hmm,4,1,1,0,10,0,8,5,24,0,-0.08653739700146237,0.041666666666666664,0.0,0.4166666666666667,0.0,0.3333333333333333,0.20833333333333334,0.1570363527128088,b
1129,respect,4,1,2,0,11,109,85,517,724,0,0.5335305867912669,0.0027624309392265192,0.0,0.015193370165745856,0.1505524861878453,0.11740331491712708,0.7140883977900553,0.3960317402738432,b
1135,truly,1,1,0,0,3,35,37,21,96,0,-0.022758975811353083,0.0,0.0,0.03125,0.3645833333333333,0.3854166666666667,0.21875,0.2020195689903709,b
1142,vietnam war,16,2,121,0,0,2,0,4,127,0,0.00470117775661064,0.952755905511811,0.0,0.0,0.015748031496062992,0.0,0.031496062992125984,0.9809385095732375,g
1151,reservists,17,1,2,0,0,0,502,0,504,0,0.33865207759926624,0.003968253968253968,0.0,0.0,0.0,0.996031746031746,0.0,0.0032595201516769363,b
1155,reserves,16,1,66,0,0,0,0,0,66,0,-0.04933331797389862,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
1158,democ,1,1,60,0,0,0,0,0,60,0,-0.05464818640640773,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
1160,boo hoo,1,2,1,7,0,0,5,9,22,0,-0.08830901981229874,0.045454545454545456,0.3181818181818182,0.0,0.0,0.22727272727272727,0.4090909090909091,0.15139337502176933,b
1161,join,13,1,2,0,62,0,640,9,713,0,0.5237866613316668,0.002805049088359046,0.0,0.08695652173913043,0.0,0.8976157082748948,0.012622720897615708,0.005341999262536992,b
1164,anthony weiner guilty of sexting,9,5,1,3,0,27,0,26,57,0,-0.057305620622662284,0.017543859649122806,0.05263157894736842,0.0,0.47368421052631576,0.0,0.45614035087719296,0.5835572709274177,a
1169,los,11,1,13,0,0,0,0,0,13,0,-0.0962813224610624,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
1170,deserve,17,1,0,0,0,7,43,0,50,0,-0.06350630046058957,0.0,0.0,0.0,0.14,0.86,0.0,0.008921617705316433,b
1181,palestinians,0,1,19,0,0,1,0,3,23,0,-0.08742320840688056,0.8260869565217391,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565,0.9781663562008104,g
1195,jail,0,1,45,1,6,27,1473,464,2016,0,1.6779989225915615,0.022321428571428572,0.000496031746031746,0.002976190476190476,0.013392857142857142,0.7306547619047619,0.23015873015873015,0.013403864774924444,b
1197,conversation,0,1,2,0,0,0,9,0,11,0,-0.09805294527189877,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.016709705637687797,b
1203,ola ray,9,2,17,0,0,0,0,6,23,0,-0.08742320840688056,0.7391304347826086,0.0,0.0,0.0,0.0,0.2608695652173913,0.9512349876938695,g
1208,grand marshal,17,2,180,0,0,0,0,0,180,0,0.051649182243774426,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
1219,gets 20,3,2,0,3,0,0,16,2,21,0,-0.08919483121771693,0.0,0.14285714285714285,0.0,0.0,0.7619047619047619,0.09523809523809523,0.008177391657600707,b
1224,double standard,2,2,4,2,0,0,6,3,15,0,-0.09450969965022604,0.26666666666666666,0.13333333333333333,0.0,0.0,0.4,0.2,0.16635942104002532,b
1230,air force one,0,3,2200,156,0,20,90,192,2658,0,2.246689844870036,0.8276899924755455,0.05869074492099323,0.0,0.007524454477050414,0.033860045146726865,0.07223476297968397,0.924677883668797,g
1234,exactly,0,1,6,0,15,4,45,43,113,0,-0.007700181919243944,0.05309734513274336,0.0,0.13274336283185842,0.035398230088495575,0.39823008849557523,0.3805309734513274,0.10631176983331156,b
