,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
4638,mike pence,0,2,386,0,0,0,0,0,386,0,0.23412633175992045,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
4650,likely little,0,2,445,0,0,0,0,0,445,0,0.28638920467959333,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
4657,lots,2,1,6,0,4,2,90,1,103,0,-0.016558295973425792,0.05825242718446602,0.0,0.038834951456310676,0.019417475728155338,0.8737864077669902,0.009708737864077669,0.007780639505336583,b
4662,national security,4,2,1,0,0,0,24,1,26,0,-0.084765774190626,0.038461538461538464,0.0,0.0,0.0,0.9230769230769231,0.038461538461538464,0.004676207547905479,b
4663,intel,0,1,98,0,0,0,30,0,128,0,0.005586989162028825,0.765625,0.0,0.0,0.0,0.234375,0.0,0.8919761168488115,g
4666,andrew brietbart,4,2,28,0,0,0,0,0,28,0,-0.08299415137978963,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
4671,msm,0,1,2,0,0,872,11,101,986,0,0.7656131750108313,0.002028397565922921,0.0,0.0,0.8843813387423936,0.011156186612576065,0.10243407707910751,0.9148953489845346,g
4676,nyc mayor,2,2,1,17,0,0,0,0,18,0,-0.09185226543397149,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,0.3465644977806302,b
4678,doj,0,1,0,0,0,11,1,5,17,0,-0.09273807683938967,0.0,0.0,0.0,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.8013308698026064,g
4682,citizen journalist,7,2,27,0,0,0,0,0,27,0,-0.08387996278520782,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
4684,corrupt,0,1,2,0,0,0,405,12,419,0,0.2633581081387205,0.00477326968973747,0.0,0.0,0.0,0.9665871121718377,0.028639618138424822,0.0037173446264846684,b
4685,sailors,16,1,27,0,0,0,1,1,29,0,-0.08210833997437145,0.9310344827586207,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.9810185983802013,g
4689,forever,7,1,24,0,9,4,164,8,209,0,0.07733771300090178,0.11483253588516747,0.0,0.0430622009569378,0.019138755980861243,0.784688995215311,0.03827751196172249,0.015721564530522352,b
4690,united states armed forces,16,4,31,1,0,0,0,1,33,0,-0.07856509435269872,0.9393939393939394,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.894012523504518,g
4691,roman polanski,2,2,10,0,0,0,0,1,11,0,-0.09805294527189877,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.9764691277224168,g
4692,may of 2016,9,3,0,21,0,0,0,0,21,0,-0.08919483121771693,0.0,1.0,0.0,0.0,0.0,0.0,0.28207375856168565,b
4693,read,4,1,10,0,16,3,446,24,499,0,0.3342230205721753,0.02004008016032064,0.0,0.03206412825651302,0.006012024048096192,0.8937875751503006,0.04809619238476954,0.00573728535772579,b
4695,2016 grace,11,2,0,37,0,0,0,0,37,0,-0.07502184873102598,0.0,1.0,0.0,0.0,0.0,0.0,0.2900907715257324,b
4702,theblaze,1,1,32,0,0,0,0,0,32,0,-0.0794509057581169,1.0,0.0,0.0,0.0,0.0,0.0,0.9878434018017458,g
4710,killary,1,1,17,0,0,0,1,7,25,0,-0.08565158559604419,0.68,0.0,0.0,0.0,0.04,0.28,0.9426592341203446,g
4711,ny times,0,2,445,1,0,0,0,0,446,0,0.28727501608501155,0.9977578475336323,0.002242152466367713,0.0,0.0,0.0,0.0,0.9834409028336385,g
4712,charges of sexting a minor,14,5,20,0,0,0,0,1,21,0,-0.08919483121771693,0.9523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.8041415980068758,g
4713,pun,6,1,6,0,4,0,38,1,49,0,-0.06439211186600775,0.12244897959183673,0.0,0.08163265306122448,0.0,0.7755102040816326,0.02040816326530612,0.01664875096607208,b
4715,mensch,0,1,14,0,1,0,0,0,15,0,-0.09450969965022604,0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.9851272152677213,g
4717,based,1,1,2,0,4,0,167,0,173,0,0.045448502405847135,0.011560693641618497,0.0,0.023121387283236993,0.0,0.9653179190751445,0.0,0.003902511839200535,b
4728,hillary,0,1,10409,0,300,16,33,955,11713,0,10.267712120931698,0.8886707077606079,0.0,0.025612567232988985,0.0013660035857594125,0.0028173823956287886,0.08153333902501494,0.9813725414676611,g
4732,name,0,1,3,0,5,3,535,49,595,0,0.41926091549232103,0.005042016806722689,0.0,0.008403361344537815,0.005042016806722689,0.8991596638655462,0.08235294117647059,0.005163869750756392,b
4734,piece of shit,2,3,0,1,0,1,24,1,27,0,-0.08387996278520782,0.0,0.037037037037037035,0.0,0.037037037037037035,0.8888888888888888,0.037037037037037035,0.01610755155505245,b
4739,clinton foundation,2,2,15,1,0,0,0,3,19,0,-0.0909664540285533,0.7894736842105263,0.05263157894736842,0.0,0.0,0.0,0.15789473684210525,0.9604936438411806,g
4744,breitbart,0,1,1373,0,17,0,6,7,1403,0,1.1349965310702144,0.9786172487526729,0.0,0.012116892373485389,0.0,0.0042765502494654314,0.004989308624376337,0.986662368394561,g
4754,quick,0,1,2,0,20,0,16,1055,1093,0,0.860394995390577,0.0018298261665141812,0.0,0.018298261665141813,0.0,0.01463860933211345,0.9652333028362305,0.43949998617530145,a
