,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
576,albert einstein,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
577,45ers,0,1,0,0,0,0,1,0,1,-0.2963532182385123,0.0,0.0,0.0,0.0,1.0,0.0,0.006217084980617363,b
578,hallmark,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
579,cbo,0,1,0,0,0,6,0,0,6,0.03172776204472176,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
580,dustin poirier,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
581,27th,0,1,0,0,0,0,1,0,1,-0.2963532182385123,0.0,0.0,0.0,0.0,1.0,0.0,0.006217084980617363,b
582,bon appétit,0,2,2,0,0,0,0,0,2,-0.23073702218186548,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
583,republican fbi director comey refused,0,5,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.18685069363431314,b
584,oath,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
585,reconstruction south,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
586,edgar,0,1,8,0,5,0,0,3,16,0.6878897226111899,0.5,0.0,0.3125,0.0,0.0,0.1875,0.9127272645118247,g
587,fisa,0,1,1,0,0,11,0,1,13,0.4910411344412494,0.07692307692307693,0.0,0.0,0.8461538461538461,0.0,0.07692307692307693,0.9275193022013439,g
588,bosnia,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
589,warriors,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
590,watch ufc 211,0,3,0,1,0,0,0,0,1,-0.2963532182385123,0.0,1.0,0.0,0.0,0.0,0.0,0.18201569665071546,b
591,joevin jones,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
592,rodriguez,0,1,3,0,2,0,0,0,5,-0.033888434011925046,0.6,0.0,0.4,0.0,0.0,0.0,0.9421080500598105,g
593,lives,0,1,0,0,0,1,13,1,15,0.622273526554543,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.013168148590704035,b
594,write,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.10874373210353393,b
595,60s,0,1,0,0,0,0,2,0,2,-0.23073702218186548,0.0,0.0,0.0,0.0,1.0,0.0,0.006217084980617363,b
596,world news,0,2,2,0,0,0,0,0,2,-0.23073702218186548,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
597,wnyers,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
598,liberals,0,1,2,0,6,0,15,0,23,1.1472030950077174,0.08695652173913043,0.0,0.2608695652173913,0.0,0.6521739130434783,0.0,0.050376901463068544,b
599,united airlines,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
600,sc,0,1,0,0,0,1,0,2,3,-0.16512082612521867,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.7011463588486265,a
601,carter,0,1,3,0,1,0,0,2,6,0.03172776204472176,0.5,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.9060106627944787,g
602,niam,0,1,3,0,1,0,0,5,9,0.2285763502146622,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.8141557009015649,g
603,iq,0,1,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
604,words,0,1,1,0,0,0,7,1,9,0.2285763502146622,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.02659788358918422,b
605,liberty university,0,2,2,0,0,0,0,1,3,-0.16512082612521867,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.8958877139528116,g
606,paid higher premiums,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
607,dad,0,1,3,0,0,0,2,0,5,-0.033888434011925046,0.6,0.0,0.0,0.0,0.4,0.0,0.6259682487851772,a
608,russia,0,1,42,0,2,0,2,1,47,2.7219918003672405,0.8936170212765957,0.0,0.0425531914893617,0.0,0.0425531914893617,0.02127659574468085,0.9722960932867946,g
609,24 gop,0,2,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.8644547046725531,g
610,american health system,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
611,get married,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
612,sunny in philadelphia,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
613,lot,0,1,0,0,1,1,8,0,10,0.294192546271309,0.0,0.0,0.1,0.1,0.8,0.0,0.020352908018627974,b
614,humor,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
615,horrible health bill,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
616,pbo,0,1,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
617,dope,0,1,0,0,0,1,1,0,2,-0.23073702218186548,0.0,0.0,0.0,0.5,0.5,0.0,0.22148392779445686,b
618,canelo,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
619,take,0,1,2,0,4,0,34,0,40,2.2626784279707133,0.05,0.0,0.1,0.0,0.85,0.0,0.01521794879519786,b
620,putin puppet show,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
621,fbi got fisa warrant,0,4,1,3,0,0,0,1,5,-0.033888434011925046,0.2,0.6,0.0,0.0,0.0,0.2,0.12615374034952148,b
622,poles,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
623,ann courter,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
624,rose garden,0,2,2,0,0,0,0,0,2,-0.23073702218186548,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
625,ahca,0,1,0,0,0,5,0,0,5,-0.033888434011925046,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
626,power corrupts,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
627,tang,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
628,native americans,0,2,1,1,0,0,0,1,3,-0.16512082612521867,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.7054652974427652,a
629,asha,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
630,rodriguez get,0,2,3,0,0,0,0,0,3,-0.16512082612521867,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
631,24 house republicans,0,3,0,1,0,0,0,0,1,-0.2963532182385123,0.0,1.0,0.0,0.0,0.0,0.0,0.18201569665071546,b
632,europeans,0,1,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
633,devil,0,1,1,0,0,0,1,0,2,-0.23073702218186548,0.5,0.0,0.0,0.0,0.5,0.0,0.38462717389491136,b
634,wrong,0,1,0,0,0,1,5,1,7,0.09734395810136857,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.03350696363396496,b
635,m5,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
636,linkinpark,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
637,jd,0,1,0,0,0,2,0,0,2,-0.23073702218186548,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
638,intel,0,1,2,0,0,0,2,0,4,-0.09950463006857185,0.5,0.0,0.0,0.0,0.5,0.0,0.38462717389491136,b
639,internet,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
640,goat quote,0,2,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.8644547046725531,g
641,amanda,0,1,2,0,0,0,0,0,2,-0.23073702218186548,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
642,diane abbott,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
643,sunshine,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
644,jews,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
645,knew,0,1,0,0,0,1,4,0,5,-0.033888434011925046,0.0,0.0,0.0,0.2,0.8,0.0,0.02569903134809293,b
646,clintons,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
647,rhythm,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
648,october 28,0,2,0,1,0,0,0,0,1,-0.2963532182385123,0.0,1.0,0.0,0.0,0.0,0.0,0.3862638712957914,b
649,explain,0,1,1,0,0,0,1,0,2,-0.23073702218186548,0.5,0.0,0.0,0.0,0.5,0.0,0.38462717389491136,b
650,left,0,1,2,0,0,0,19,0,21,1.0159707028944238,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048,0.0,0.013677289815375493,b
651,bitch wbzg thenesjdjdnx,0,3,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.5562870090600388,a
652,spicy,0,1,1,0,0,0,1,1,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4241731463136473,a
653,icymi,0,1,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
654,cormier,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
655,white,0,1,5,0,4,0,57,9,75,4.559245289953352,0.06666666666666667,0.0,0.05333333333333334,0.0,0.76,0.12,0.024630829412168414,b
656,syria,0,1,6,0,0,0,0,2,8,0.16296015415801537,0.75,0.0,0.0,0.0,0.0,0.25,0.9606460767905712,g
657,chained,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
658,since,0,1,1,0,3,0,8,1,13,0.4910411344412494,0.07692307692307693,0.0,0.23076923076923078,0.0,0.6153846153846154,0.07692307692307693,0.05724859931458616,b
659,krzysztof jotko,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
660,ne,0,1,0,0,0,2,0,0,2,-0.23073702218186548,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
661,yt13 add42497,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
662,right,0,1,0,0,1,2,45,7,55,3.246921368820415,0.0,0.0,0.01818181818181818,0.03636363636363636,0.8181818181818182,0.12727272727272726,0.015421860463574131,b
663,soviet russia,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
664,united states of west america,0,5,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.18685069363431314,b
665,instagram,0,1,10,0,0,0,1,1,12,0.4254249383846026,0.8333333333333334,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.9575508081682595,g
666,actually australia,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
667,grand favourite,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
668,tom clancy,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
669,brexit,0,1,2,0,0,0,0,1,3,-0.16512082612521867,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.9455675784087666,g
670,frankieedgar,0,1,1,0,2,0,0,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.8490119846741427,g
671,holloway,0,1,2,0,1,0,0,0,3,-0.16512082612521867,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.9542625825467549,g
672,barack obama,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
673,house passes bill,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
674,nazi,0,1,1,0,0,1,0,0,2,-0.23073702218186548,0.5,0.0,0.0,0.5,0.0,0.0,0.9688837428648704,g
675,anglo celtic australian,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
676,whatcha,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
677,top spanish,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
678,san diego,0,2,2,0,0,0,0,0,2,-0.23073702218186548,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
679,america great,0,2,1,2,0,0,0,0,3,-0.16512082612521867,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.6895989264632445,a
680,yair,0,1,12,0,4,0,0,2,18,0.8191221147244835,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.9526267814335831,g
681,rashad coulter,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
682,campaign manager manaford,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
683,goper,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
684,eerie linkin park,0,3,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.7612457398294646,g
685,legal fisa,0,2,0,2,0,1,0,0,3,-0.16512082612521867,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5771167349493102,a
686,dems,0,1,9,0,3,0,0,0,12,0.4254249383846026,0.75,0.0,0.25,0.0,0.0,0.0,0.9655654303039669,g
687,starving,0,1,1,0,0,0,1,0,2,-0.23073702218186548,0.5,0.0,0.0,0.0,0.5,0.0,0.38462717389491136,b
688,slovenia,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
