,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted
282,tb,0,1,0,0,0,1,0,0,1,-0.2963532182385123
283,miah,0,1,1,0,0,0,0,0,1,-0.2963532182385123
284,bulgarian,0,1,1,0,0,0,0,0,1,-0.2963532182385123
285,jam,0,1,0,0,0,1,0,0,1,-0.2963532182385123
286,tv,0,1,0,0,0,1,3,0,4,-0.09950463006857185
287,earth,0,1,1,0,1,0,4,0,6,0.03172776204472176
288,conor mcgregor,0,2,1,0,0,0,0,0,1,-0.2963532182385123
289,copy,0,1,1,0,0,0,0,0,1,-0.2963532182385123
290,moto x4,0,2,2,0,0,0,0,0,2,-0.23073702218186548
291,hurry,0,1,2,0,0,0,0,0,2,-0.23073702218186548
292,doa,0,1,0,0,0,1,0,0,1,-0.2963532182385123
293,almost,0,1,1,0,1,0,4,0,6,0.03172776204472176
294,really,0,1,1,0,5,0,37,2,45,2.590759408253947
295,affirmative action,0,2,1,0,0,0,0,0,1,-0.2963532182385123
296,co,0,1,1,0,0,0,1,0,2,-0.23073702218186548
297,lenovo,0,1,1,0,0,0,0,0,1,-0.2963532182385123
298,rio,0,1,1,0,0,0,0,0,1,-0.2963532182385123
299,auntie,0,1,1,0,0,0,0,0,1,-0.2963532182385123
300,wonder world tour,0,3,1,0,0,0,0,0,1,-0.2963532182385123
301,wash post,0,2,1,0,0,0,0,0,1,-0.2963532182385123
302,chechnya,0,1,1,0,0,0,0,0,1,-0.2963532182385123
303,eddie,0,1,1,0,0,0,0,0,1,-0.2963532182385123
304,racism,0,1,0,0,1,1,23,1,26,1.3440516831776579
305,brad pitt,0,2,1,0,0,0,0,0,1,-0.2963532182385123
306,making,0,1,1,0,0,0,8,0,9,0.2285763502146622
307,ouch,0,1,1,0,0,0,0,1,2,-0.23073702218186548
308,brilliant recreation,0,2,1,0,0,0,0,0,1,-0.2963532182385123
309,steele the savior,0,3,1,0,0,0,0,0,1,-0.2963532182385123
310,united states foreign intelligence surveillance court,0,6,1,0,0,0,0,0,1,-0.2963532182385123
311,dc,0,1,1,0,0,1,0,0,2,-0.23073702218186548
312,alessia cara,0,2,1,0,0,0,0,0,1,-0.2963532182385123
313,infidels,0,1,0,0,0,1,0,0,1,-0.2963532182385123
314,winning,0,1,0,0,0,1,4,2,7,0.09734395810136857
315,slayed,0,1,0,0,0,1,0,0,1,-0.2963532182385123
316,michigan,0,1,1,0,1,0,0,0,2,-0.23073702218186548
317,000 bm,0,2,0,0,0,1,0,0,1,-0.2963532182385123
318,ready,0,1,0,0,0,1,6,0,7,0.09734395810136857
319,look full photo,0,3,1,0,0,0,0,0,1,-0.2963532182385123
320,malignant republican,0,2,1,0,0,0,0,0,1,-0.2963532182385123
321,move with the groove,0,4,1,0,0,0,0,0,1,-0.2963532182385123
322,carter page.fisa,0,2,1,0,0,0,0,0,1,-0.2963532182385123
323,dump,0,1,1,0,0,0,2,0,3,-0.16512082612521867
324,flaca,0,1,0,0,0,1,0,0,1,-0.2963532182385123
325,god rodriguez,0,2,1,0,0,0,0,0,1,-0.2963532182385123
326,msnbc,0,1,0,0,0,1,0,1,2,-0.23073702218186548
327,whites,0,1,3,0,0,0,9,0,12,0.4254249383846026
328,payne,0,1,2,0,0,0,0,0,2,-0.23073702218186548
329,answer,0,1,0,0,2,1,1,0,4,-0.09950463006857185
330,carter page.y,0,2,1,0,0,0,0,0,1,-0.2963532182385123
331,centrist,0,1,1,0,0,0,0,0,1,-0.2963532182385123
332,holy,0,1,1,0,3,0,1,0,5,-0.033888434011925046
333,yair rodriguez,0,2,9,0,0,0,0,2,11,0.3598087423279558
334,obama admin,0,2,1,1,0,0,0,0,2,-0.23073702218186548
335,boa constrictor,0,2,1,0,0,0,0,0,1,-0.2963532182385123
336,goodbye,0,1,0,0,0,0,3,2,5,-0.033888434011925046
337,black people,0,2,1,1,0,0,4,1,7,0.09734395810136857
338,better,0,1,1,0,0,0,12,1,14,0.5566573304978962
339,d.o.a,0,1,0,0,0,1,0,0,1,-0.2963532182385123
340,bruce buffer,0,2,1,0,0,0,0,0,1,-0.2963532182385123
341,justice department,0,2,1,0,0,0,0,0,1,-0.2963532182385123
342,stipe,0,1,3,0,0,0,1,0,4,-0.09950463006857185
343,eleventeen,0,1,1,0,0,0,0,0,1,-0.2963532182385123
344,tease,0,1,2,0,0,0,1,0,3,-0.16512082612521867
345,comney,0,1,1,0,0,0,0,0,1,-0.2963532182385123
346,vs reality —happy moth,0,4,0,0,0,1,0,0,1,-0.2963532182385123
347,trump tower,0,2,1,0,0,0,0,0,1,-0.2963532182385123
348,mich stepping stones daily,0,4,1,0,0,0,0,0,1,-0.2963532182385123
349,united states of east america,0,5,1,0,0,0,0,0,1,-0.2963532182385123
350,roar,0,1,1,0,0,0,0,1,2,-0.23073702218186548
351,sounders,0,1,1,0,0,0,0,0,1,-0.2963532182385123
352,islam,0,1,1,0,0,0,0,0,1,-0.2963532182385123
353,daniel cormier,0,2,1,0,0,0,0,0,1,-0.2963532182385123
354,spaniard,0,1,1,0,0,0,0,0,1,-0.2963532182385123
355,ppv,0,1,0,0,0,2,0,1,3,-0.16512082612521867
356,gigi hadid,0,2,1,0,0,0,0,0,1,-0.2963532182385123
357,hero,0,1,1,0,0,0,0,1,2,-0.23073702218186548
358,hate,0,1,0,0,1,1,25,2,29,1.540900271347598
359,mendes,0,1,1,0,0,0,0,0,1,-0.2963532182385123
360,bill nye,0,2,1,0,0,0,0,0,1,-0.2963532182385123
361,maryland,0,1,1,0,0,0,0,0,1,-0.2963532182385123
362,25th,0,1,0,0,0,0,1,0,1,-0.2963532182385123
363,ignant,0,1,1,0,0,0,0,0,1,-0.2963532182385123
364,fire,0,1,1,0,0,0,7,2,10,0.294192546271309
365,dq,0,1,0,0,0,1,0,0,1,-0.2963532182385123
366,avril lavigne,0,2,1,0,0,0,0,0,1,-0.2963532182385123
367,donors,0,1,1,0,0,0,1,0,2,-0.23073702218186548
368,acting atty general,0,3,1,0,0,0,0,1,2,-0.23073702218186548
369,nialler,0,1,1,0,1,0,0,0,2,-0.23073702218186548
370,moscow,0,1,3,0,0,0,0,1,4,-0.09950463006857185
371,books,0,1,1,0,0,0,0,0,1,-0.2963532182385123
372,rep,0,1,4,0,0,0,1,2,7,0.09734395810136857
373,fbi,0,1,5,0,0,125,1,7,138,8.6930656415221
374,rep—but,0,1,1,0,0,0,0,0,1,-0.2963532182385123
375,snapchat,0,1,9,0,0,0,3,0,12,0.4254249383846026
376,spring,0,1,1,0,0,0,0,0,1,-0.2963532182385123
377,mike dean liberty university stoke,0,5,2,0,0,0,0,3,5,-0.033888434011925046
378,brilliant,0,1,1,0,0,0,0,0,1,-0.2963532182385123
379,joanna,0,1,1,0,0,0,0,0,1,-0.2963532182385123
380,carrot,0,1,1,0,0,0,0,0,1,-0.2963532182385123
381,last 3,0,2,0,1,0,0,0,0,1,-0.2963532182385123
382,village of the damned,0,4,1,0,0,0,0,0,1,-0.2963532182385123
383,scared to be lonely,0,4,3,1,0,0,0,0,4,-0.09950463006857185
384,leverage,0,1,1,0,0,0,0,0,1,-0.2963532182385123
385,africa,0,1,2,0,0,0,0,1,3,-0.16512082612521867
386,ron,0,1,1,0,0,0,0,0,1,-0.2963532182385123
387,house of representatives,0,3,1,0,0,0,0,0,1,-0.2963532182385123
388,constitution,0,1,1,0,0,0,0,0,1,-0.2963532182385123
389,latino,0,1,1,0,0,0,0,0,1,-0.2963532182385123
390,jolene,0,1,5,0,0,0,0,1,6,0.03172776204472176
391,lower,0,1,1,0,0,0,2,0,3,-0.16512082612521867
392,republicans,0,1,10,0,5,0,9,3,27,1.4096678792343047
393,big,0,1,0,0,0,2,9,4,15,0.622273526554543
394,jackson wink,0,2,1,0,0,0,0,0,1,-0.2963532182385123
395,parabéns,0,1,0,0,0,1,0,0,1,-0.2963532182385123
396,titanium,0,1,2,1,0,0,1,0,4,-0.09950463006857185
397,snub house bill,0,3,1,0,0,0,0,0,1,-0.2963532182385123
398,nice,0,1,1,0,3,0,6,3,13,0.4910411344412494
399,arizona,0,1,1,0,0,0,0,0,1,-0.2963532182385123
400,sweden,0,1,4,0,0,0,0,1,5,-0.033888434011925046
401,arn anderson,0,2,1,0,0,0,0,0,1,-0.2963532182385123
402,dave matthews,0,2,1,0,0,0,0,0,1,-0.2963532182385123
403,eyes closed,0,2,1,0,0,0,0,0,1,-0.2963532182385123
404,miley,0,1,6,0,14,0,1,1,22,1.0815868989510706
405,carpet,0,1,1,0,0,0,18,0,19,0.8847383107811303
406,press conference,0,2,1,0,0,0,0,0,1,-0.2963532182385123
407,lord vader,0,2,1,0,0,0,0,0,1,-0.2963532182385123
408,bleeding hearts,0,2,1,0,0,0,0,0,1,-0.2963532182385123
409,four,0,1,0,0,0,1,2,0,3,-0.16512082612521867
410,cheetolini,0,1,1,0,0,0,0,0,1,-0.2963532182385123
411,eurovision song contest,0,3,1,0,0,0,0,0,1,-0.2963532182385123
412,dow,0,1,1,0,0,0,0,0,1,-0.2963532182385123
413,4 uber,0,2,0,1,0,0,0,0,1,-0.2963532182385123
414,imagine kickboxing maia,0,3,1,0,0,0,0,0,1,-0.2963532182385123
415,general office,0,2,1,0,0,0,0,0,1,-0.2963532182385123
416,2017 grand final,0,3,0,1,0,0,0,1,2,-0.23073702218186548
417,whittaker,0,1,1,0,0,0,0,0,1,-0.2963532182385123
418,florida,0,1,1,0,0,0,0,0,1,-0.2963532182385123
419,buzzfeed germany,0,2,1,0,0,0,0,0,1,-0.2963532182385123
420,house passage,0,2,2,0,0,0,0,0,2,-0.23073702218186548
421,july,0,1,1,0,1,0,0,0,2,-0.23073702218186548
422,magat,0,1,1,0,0,0,0,0,1,-0.2963532182385123
423,jessica andrade,0,2,1,0,0,0,0,0,1,-0.2963532182385123
424,democratic party,0,2,2,0,0,0,0,0,2,-0.23073702218186548
425,champion,0,1,1,0,0,0,2,0,3,-0.16512082612521867
426,complaint,0,1,1,0,0,0,0,0,1,-0.2963532182385123
427,wh,0,1,0,0,0,3,0,1,4,-0.09950463006857185
428,djt,0,1,0,0,0,3,0,0,3,-0.16512082612521867
429,marketwatch,0,1,0,0,0,1,0,0,1,-0.2963532182385123
430,assholes great,0,2,0,0,0,1,0,0,1,-0.2963532182385123
431,malibu,0,1,3,0,0,0,0,0,3,-0.16512082612521867
432,nunez,0,1,1,0,0,0,0,0,1,-0.2963532182385123
433,wot,0,1,1,0,0,0,0,0,1,-0.2963532182385123
434,great,0,1,1,0,9,0,21,2,33,1.8033650555741854
