,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2508,2235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2355,1985,2245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2249,1858,2101,1808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2086,1644,1723,1468,1697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2061,1592,1697,1400,1610,2119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2040,1465,1541,1233,1413,1596,1869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2021,1457,1524,1210,1394,1542,1800,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1998,1441,1517,1191,1365,1517,1699,1748,1727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1988,1430,1508,1173,1346,1414,1618,1632,1473,1750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1953,1356,1447,1103,1243,1337,1514,1521,1403,1529,1554,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1932,1352,1439,1089,1234,1322,1494,1497,1382,1485,1486,1401,-1,-1,-1,-1,-1,-1,-1,-1
12,1919,1339,1431,1085,1223,1314,1481,1488,1366,1456,1456,1370,1619,-1,-1,-1,-1,-1,-1,-1
13,1910,1331,1351,1029,1128,1222,1449,1419,1250,1387,1392,1294,1497,1399,-1,-1,-1,-1,-1,-1
14,1902,1321,1340,1017,1113,1206,1433,1401,1239,1373,1371,1268,1427,1303,1503,-1,-1,-1,-1,-1
15,1895,1315,1337,1012,1107,1196,1420,1396,1229,1361,1353,1239,1373,1264,1464,1503,-1,-1,-1,-1
16,1835,1302,1329,1010,1101,1184,1406,1378,1208,1344,1328,1216,1352,1227,1430,1456,2243,-1,-1,-1
17,1819,1295,1282,981,1056,1146,1380,1351,1176,1329,1307,1207,1253,1111,1363,1409,1908,2069,-1,-1
18,1810,1289,1281,981,1056,1142,1378,1342,1173,1326,1302,1206,1251,1108,1360,1408,1847,1981,1910,-1
19,1786,1283,1280,981,1054,1140,1374,1338,1171,1323,1301,1204,1248,1106,1359,1395,1811,1959,1772,1903
