,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2425,1724,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1787,1352,885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1376,571,448,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1536,2396,434,38,413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1258,1337,342,20,318,473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1012,653,247,6,306,167,744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,685,593,204,22,275,53,467,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,597,509,210,14,255,47,125,472,1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,549,643,225,16,271,347,60,284,566,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,770,1260,213,29,204,101,78,267,287,181,649,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,754,714,142,13,253,61,51,214,391,112,173,857,-1,-1,-1,-1,-1,-1,-1,-1
12,692,837,1309,16,185,51,29,202,873,95,130,333,469,-1,-1,-1,-1,-1,-1,-1
13,787,1890,196,11,691,61,22,211,350,71,222,378,130,774,-1,-1,-1,-1,-1,-1
14,821,983,258,21,241,29,180,301,506,43,177,394,149,148,139,-1,-1,-1,-1,-1
15,681,886,301,6,255,16,84,199,403,187,182,446,88,111,52,279,-1,-1,-1,-1
16,45,72,28,9,46,2,97,128,99,4,17,29,48,10,1,9,377,-1,-1,-1
17,0,12,141,5,50,19,4,2,32,0,0,2,0,5,1,1,163,2379,-1,-1
18,2,11,41,7,3,0,1,1,0,1,1,20,4,5,0,0,92,210,903,-1
19,1,27,15,8,2,0,0,5,0,0,0,10,1,6,1,6,101,118,626,1118
