,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2537,2188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2404,1984,2248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2307,1830,2112,1801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2242,1744,2034,1656,1918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2114,1622,1969,1562,1769,2141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2094,1496,1803,1409,1592,1714,1887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2074,1490,1788,1387,1498,1578,1739,1912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2041,1424,1727,1312,1423,1496,1573,1630,1863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2032,1413,1718,1294,1397,1466,1541,1544,1767,1835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2011,1387,1710,1286,1361,1451,1517,1516,1740,1744,1711,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1989,1383,1460,1109,1252,1350,1431,1452,1671,1684,1590,1729,-1,-1,-1,-1,-1,-1,-1,-1
12,1975,1370,1452,1105,1239,1340,1419,1442,1658,1655,1551,1693,1887,-1,-1,-1,-1,-1,-1,-1
13,1968,1364,1432,1089,1196,1302,1404,1424,1640,1642,1513,1622,1771,1599,-1,-1,-1,-1,-1,-1
14,1961,1355,1421,1082,1180,1285,1389,1411,1626,1630,1495,1596,1696,1520,1873,-1,-1,-1,-1,-1
15,1954,1349,1418,1077,1176,1277,1376,1406,1616,1618,1479,1572,1648,1483,1819,1738,-1,-1,-1,-1
16,1911,1301,1381,1044,1147,1257,1351,1380,1548,1576,1441,1367,1529,1396,1761,1658,2278,-1,-1,-1
17,1899,1290,1287,961,1058,1166,1289,1302,1449,1518,1394,1324,1397,1263,1677,1600,875,776,-1,-1
18,1886,1284,1286,961,1058,1162,1287,1293,1446,1515,1389,1323,1395,1260,1670,1597,783,657,2127,-1
19,1870,1278,1285,961,1056,1161,1283,1289,1444,1513,1388,1321,1392,1258,1669,1584,763,641,2007,2438
