,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,23,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,22,17,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,21,14,10,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,21,12,10,7,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,20,11,10,7,14,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,20,11,11,6,13,17,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,19,11,9,6,12,15,15,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,19,10,8,6,12,13,12,17,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,19,10,8,5,13,12,10,17,7,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,19,11,8,5,12,12,12,16,6,9,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,19,11,8,5,12,13,14,16,6,9,9,11,-1,-1,-1,-1,-1,-1,-1,-1
12,19,11,8,5,12,13,14,16,7,10,7,11,15,-1,-1,-1,-1,-1,-1,-1
13,19,11,8,5,12,10,13,16,7,10,6,10,13,7,-1,-1,-1,-1,-1,-1
14,19,12,8,5,12,10,13,16,7,10,6,11,14,6,17,-1,-1,-1,-1,-1
15,19,12,8,5,12,10,13,16,7,9,6,10,12,6,15,9,-1,-1,-1,-1
16,18,11,8,5,12,10,13,16,7,9,6,9,12,6,14,9,14,-1,-1,-1
17,18,11,8,5,11,10,13,16,7,9,6,8,12,5,14,9,10,14,-1,-1
18,18,11,7,5,11,10,14,16,7,9,6,8,12,5,14,9,8,12,12,-1
19,18,11,7,5,11,10,14,16,7,9,6,8,12,5,14,9,8,11,9,10
