,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2569,2122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2432,1944,2229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2350,1792,2097,1830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2285,1716,2030,1659,1925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2163,1596,1968,1566,1771,2147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2141,1466,1803,1413,1595,1795,1938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2119,1459,1785,1384,1490,1592,1731,1921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2086,1394,1726,1315,1418,1513,1569,1646,1876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2071,1371,1704,1289,1384,1471,1534,1579,1774,1925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2050,1345,1696,1281,1348,1455,1510,1513,1739,1823,1799,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,2028,1341,1688,1267,1337,1441,1495,1488,1710,1799,1720,1816,-1,-1,-1,-1,-1,-1,-1,-1
12,2015,1328,1680,1263,1325,1427,1482,1479,1698,1694,1608,1718,1948,-1,-1,-1,-1,-1,-1,-1
13,2008,1322,1660,1247,1282,1389,1467,1461,1680,1681,1566,1654,1813,1824,-1,-1,-1,-1,-1,-1
14,2001,1313,1649,1240,1266,1372,1452,1448,1665,1668,1548,1634,1786,1765,2075,-1,-1,-1,-1,-1
15,1993,1307,1646,1235,1262,1364,1439,1443,1655,1656,1533,1610,1738,1730,2014,1925,-1,-1,-1,-1
16,1952,1259,1610,1202,1233,1345,1414,1417,1587,1615,1495,1571,1703,1694,1986,1885,1047,-1,-1,-1
17,1942,1250,1608,1201,1227,1344,1412,1416,1586,1610,1493,1402,1618,1558,1917,1806,908,1009,-1,-1
18,1924,1243,1515,1119,1144,1247,1351,1330,1489,1558,1447,1362,1485,1517,1872,1785,818,784,2174,-1
19,1911,1237,1514,1119,1142,1246,1347,1326,1487,1556,1446,1360,1482,1515,1870,1772,789,768,992,1376
