,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,23,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,21,16,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,18,14,12,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,18,12,13,8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,18,11,12,8,14,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,18,11,12,6,13,15,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,17,11,11,5,14,12,12,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,17,12,10,5,13,10,10,19,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,17,10,10,5,13,10,10,17,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,17,11,10,6,13,10,9,16,9,7,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,17,11,10,6,13,10,9,16,9,6,9,13,-1,-1,-1,-1,-1,-1,-1,-1
12,17,11,10,6,13,10,9,16,10,6,8,11,16,-1,-1,-1,-1,-1,-1,-1
13,17,11,10,6,14,9,9,16,10,6,8,11,16,10,-1,-1,-1,-1,-1,-1
14,17,12,9,6,12,9,9,16,10,6,8,12,13,9,13,-1,-1,-1,-1,-1
15,17,12,9,6,11,9,9,16,9,6,8,12,11,9,12,9,-1,-1,-1,-1
16,16,11,8,6,11,9,9,16,9,6,8,10,12,9,11,9,13,-1,-1,-1
17,16,11,7,6,10,9,9,16,9,6,8,9,12,8,11,9,9,10,-1,-1
18,16,11,7,6,10,9,9,16,9,6,8,9,12,8,11,9,7,8,9,-1
19,16,11,7,5,10,9,9,17,9,6,8,9,12,8,11,9,7,7,8,9
