,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2636,2338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2476,2145,2547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2393,2035,2428,2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2332,1953,2353,1866,2211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2206,1807,2101,1645,1838,2221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2182,1676,1937,1494,1666,1872,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2153,1620,1864,1410,1506,1623,1720,1908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2128,1605,1859,1387,1488,1590,1639,1710,2081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2117,1410,1720,1293,1402,1497,1577,1633,1947,2113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2097,1382,1710,1285,1365,1477,1552,1567,1912,2012,2172,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,2075,1378,1702,1271,1354,1464,1537,1542,1883,1988,2108,2091,-1,-1,-1,-1,-1,-1,-1,-1
12,2062,1365,1694,1266,1336,1451,1524,1530,1872,1964,2073,2054,2138,-1,-1,-1,-1,-1,-1,-1
13,2054,1359,1674,1249,1296,1415,1501,1513,1849,1947,2029,2006,2090,2106,-1,-1,-1,-1,-1,-1
14,2047,1350,1663,1244,1281,1399,1486,1500,1835,1937,2013,1987,2066,2048,2335,-1,-1,-1,-1,-1
15,2039,1344,1660,1238,1277,1389,1470,1492,1824,1924,1994,1844,1909,1828,2126,1996,-1,-1,-1,-1
16,1972,1296,1621,1204,1247,1369,1442,1466,1758,1885,1955,1807,1872,1795,2100,1956,1211,-1,-1,-1
17,1963,1288,1619,1203,1241,1368,1439,1463,1753,1877,1952,1802,1871,1706,2057,1916,951,1372,-1,-1
18,1926,1280,1526,1125,1158,1273,1377,1375,1654,1682,1814,1596,1653,1612,1984,1855,826,782,1136,-1
19,1913,1274,1524,1125,1156,1273,1374,1373,1653,1682,1813,1594,1652,1612,1982,1843,800,767,998,1400
