,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2636,2154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2476,1944,2360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2393,1818,2226,1900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2332,1752,2165,1758,2031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2206,1623,2098,1644,1835,2217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2182,1492,1933,1491,1662,1867,1973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2153,1436,1860,1407,1502,1618,1684,1862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2127,1421,1855,1392,1483,1584,1600,1664,2033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2116,1407,1716,1298,1397,1491,1538,1587,1898,1943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2096,1382,1706,1291,1362,1475,1514,1521,1863,1842,1892,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,2074,1378,1698,1277,1351,1462,1499,1496,1834,1818,1828,1952,-1,-1,-1,-1,-1,-1,-1,-1
12,2061,1365,1690,1272,1338,1452,1487,1487,1823,1794,1793,1917,2040,-1,-1,-1,-1,-1,-1,-1
13,2054,1359,1670,1256,1295,1414,1472,1469,1805,1779,1750,1867,1989,1954,-1,-1,-1,-1,-1,-1
14,2047,1350,1659,1251,1280,1398,1457,1456,1791,1769,1734,1848,1965,1896,2207,-1,-1,-1,-1,-1
15,2039,1344,1656,1246,1276,1390,1444,1449,1780,1757,1718,1822,1898,1789,2134,2002,-1,-1,-1,-1
16,1972,1296,1617,1212,1246,1370,1416,1423,1714,1717,1679,1785,1861,1754,2107,1961,1209,-1,-1,-1
17,1963,1288,1615,1211,1240,1369,1413,1420,1710,1711,1677,1780,1859,1667,2065,1922,954,1024,-1,-1
18,1926,1280,1522,1133,1157,1274,1351,1332,1612,1656,1539,1574,1641,1573,1992,1861,829,784,1136,-1
19,1913,1274,1520,1133,1155,1274,1348,1330,1611,1656,1538,1572,1640,1573,1990,1849,803,769,998,1400
